geoName,interest,date,lat,long,city
Oklahoma City Oklahoma United States of America,100,2019-01-07,35.4729886,-97.5170536,Oklahoma City 
Atlanta Georgia United States of America,31,2019-01-14,33.7490987,-84.3901849,Atlanta 
Miami Florida United States of America,47,2019-01-14,25.7742658,-80.1936589,Miami 
Philadelphia Pennsylvania United States of America,29,2019-01-14,39.9527237,-75.1635262,Philadelphia 
San Antonio Texas United States of America,100,2019-01-14,29.4246002,-98.4951405,San Antonio 
Boston Massachusetts United States of America,22,2019-01-21,42.3602534,-71.0582912,Boston 
Hartford Connecticut United States of America,60,2019-01-21,41.764582,-72.6908547,Hartford 
Jacksonville Florida United States of America,100,2019-01-21,30.3321838,-81.655651,Jacksonville 
Washington District of Columbia United States of America,18,2019-01-21,38.8948932,-77.0365529,Washington 
Atlanta Georgia United States of America,2,2019-01-28,33.7490987,-84.3901849,Atlanta 
Chicago Illinois United States of America,1,2019-01-28,41.8755616,-87.6244212,Chicago 
Dallas Texas United States of America,2,2019-01-28,32.7762719,-96.7968559,Dallas 
Detroit Michigan United States of America,3,2019-01-28,42.3315509,-83.0466403,Detroit 
Flint Michigan United States of America,18,2019-01-28,43.0161693,-83.6900211,Flint 
Grand Rapids Michigan United States of America,9,2019-01-28,42.9632405,-85.6678639,Grand Rapids 
Jackson Tennessee United States of America,100,2019-01-28,35.6144446,-88.8177418,Jackson 
Tampa Florida United States of America,3,2019-01-28,27.9477595,-82.458444,Tampa 
Albuquerque New Mexico United States of America,100,2019-02-04,35.0841034,-106.6509851,Albuquerque 
Boston Massachusetts United States of America,20,2019-02-04,42.3602534,-71.0582912,Boston 
Boston Massachusetts United States of America,100,2019-02-11,42.3602534,-71.0582912,Boston 
Phoenix Arizona United States of America,27,2019-02-18,33.4484367,-112.0741417,Phoenix 
Richmond Virginia United States of America,100,2019-02-18,37.5385087,-77.43428,Richmond 
San Diego California United States of America,39,2019-02-18,32.7174209,-117.1627714,San Diego 
West Palm Beach Florida United States of America,77,2019-02-18,26.715364,-80.0532942,West Palm Beach 
Portland Oregon United States of America,100,2019-02-25,45.5202471,-122.6741949,Portland 
San Francisco California United States of America,35,2019-02-25,37.7790262,-122.4199061,San Francisco 
Atlanta Georgia United States of America,100,2019-03-04,33.7490987,-84.3901849,Atlanta 
Boston Massachusetts United States of America,2,2019-03-11,42.3602534,-71.0582912,Boston 
Chicago Illinois United States of America,1,2019-03-11,41.8755616,-87.6244212,Chicago 
Detroit Michigan United States of America,3,2019-03-11,42.3315509,-83.0466403,Detroit 
Greenville North Carolina United States of America,25,2019-03-11,35.612661,-77.3663538,Greenville 
Houston Texas United States of America,2,2019-03-11,29.7589382,-95.3676974,Houston 
Jacksonville Florida United States of America,10,2019-03-11,30.3321838,-81.655651,Jacksonville 
Laredo Texas United States of America,100,2019-03-11,27.5199841,-99.4953764,Laredo 
Miami Florida United States of America,3,2019-03-11,25.7742658,-80.1936589,Miami 
New York New York United States of America,1,2019-03-11,36.1021436,-115.17449463280128,New York 
Norfolk Virginia United States of America,8,2019-03-11,36.8462923,-76.2929252,Norfolk 
Atlanta Georgia United States of America,3,2019-03-18,33.7490987,-84.3901849,Atlanta 
Austin Texas United States of America,5,2019-03-18,30.2711286,-97.7436995,Austin 
Baltimore Maryland United States of America,5,2019-03-18,39.2908816,-76.610759,Baltimore 
Buffalo New York United States of America,9,2019-03-18,42.8867166,-78.8783922,Buffalo 
Cleveland Ohio United States of America,3,2019-03-18,41.5051613,-81.6934446,Cleveland 
Denver Colorado United States of America,3,2019-03-18,39.7392364,-104.9848623,Denver 
El Paso Texas United States of America,17,2019-03-18,31.7754152,-106.4646348,El Paso 
Ft. Myers Florida United States of America,10,2019-03-18,26.640628,-81.8723084,Ft. Myers 
Greenville North Carolina United States of America,19,2019-03-18,35.612661,-77.3663538,Greenville 
Huntsville Alabama United States of America,18,2019-03-18,34.729847,-86.5859011,Huntsville 
Kansas City Missouri United States of America,5,2019-03-18,39.100105,-94.5781416,Kansas City 
Los Angeles California United States of America,2,2019-03-18,34.0536909,-118.2427666,Los Angeles 
Miami Florida United States of America,5,2019-03-18,25.7742658,-80.1936589,Miami 
Nashville Tennessee United States of America,4,2019-03-18,36.1622296,-86.7743531,Nashville 
New York New York United States of America,1,2019-03-18,36.1021436,-115.17449463280128,New York 
Orlando Florida United States of America,4,2019-03-18,28.5421109,-81.3790304,Orlando 
Raleigh North Carolina United States of America,3,2019-03-18,35.7803977,-78.6390989,Raleigh 
Sacramento California United States of America,3,2019-03-18,38.5815719,-121.4943996,Sacramento 
San Francisco California United States of America,1,2019-03-18,37.7790262,-122.4199061,San Francisco 
Tampa Florida United States of America,3,2019-03-18,27.9477595,-82.458444,Tampa 
Twin Falls Idaho United States of America,100,2019-03-18,42.5704219,-114.4603171,Twin Falls 
West Palm Beach Florida United States of America,7,2019-03-18,26.715364,-80.0532942,West Palm Beach 
Albany New York United States of America,25,2019-03-25,42.6511674,-73.754968,Albany 
Traverse City Michigan United States of America,100,2019-03-25,44.7606441,-85.6165301,Traverse City 
Washington District of Columbia United States of America,4,2019-03-25,38.8948932,-77.0365529,Washington 
West Palm Beach Florida United States of America,19,2019-03-25,26.715364,-80.0532942,West Palm Beach 
Lincoln Nebraska United States of America,100,2019-04-01,40.8088861,-96.7077751,Lincoln 
Los Angeles California United States of America,3,2019-04-01,34.0536909,-118.2427666,Los Angeles 
New York New York United States of America,2,2019-04-01,36.1021436,-115.17449463280128,New York 
Washington District of Columbia United States of America,6,2019-04-01,38.8948932,-77.0365529,Washington 
New York New York United States of America,100,2019-04-08,36.1021436,-115.17449463280128,New York 
New York New York United States of America,7,2019-04-15,36.1021436,-115.17449463280128,New York 
West Palm Beach Florida United States of America,100,2019-04-15,26.715364,-80.0532942,West Palm Beach 
West Palm Beach Florida United States of America,100,2019-04-22,26.715364,-80.0532942,West Palm Beach 
Seattle Washington United States of America,100,2019-04-29,47.6038321,-122.3300624,Seattle 
