geoName,interest,date,lat,long
Atlanta GA,39,2019-03-11,33.7490987,-84.3901849
Boston MA,60,2019-03-11,42.3602534,-71.0582912
Chicago IL,46,2019-03-11,41.8755616,-87.6244212
Cleveland,45,2019-03-11,41.5051613,-81.6934446
Houston TX,40,2019-03-11,29.7589382,-95.3676974
Los Angeles CA,76,2019-03-11,34.0536909,-118.2427666
New York NY,55,2019-03-11,40.7127281,-74.0060152
Philadelphia PA,47,2019-03-11,39.9527237,-75.1635262
San Francisco,100,2019-03-11,37.7790262,-122.4199061
Washington DC,70,2019-03-11,38.8948932,-77.0365529
Atlanta GA,68,2019-03-18,33.7490987,-84.3901849
Boston MA,100,2019-03-18,42.3602534,-71.0582912
Chicago IL,81,2019-03-18,41.8755616,-87.6244212
Cleveland,96,2019-03-18,41.5051613,-81.6934446
Houston TX,33,2019-03-18,29.7589382,-95.3676974
Los Angeles CA,62,2019-03-18,34.0536909,-118.2427666
New York NY,42,2019-03-18,40.7127281,-74.0060152
Philadelphia PA,68,2019-03-18,39.9527237,-75.1635262
San Francisco,53,2019-03-18,37.7790262,-122.4199061
Washington DC,45,2019-03-18,38.8948932,-77.0365529
Boston MA,48,2019-03-25,42.3602534,-71.0582912
Chicago IL,69,2019-03-25,41.8755616,-87.6244212
Cleveland,100,2019-03-25,41.5051613,-81.6934446
Houston TX,48,2019-03-25,29.7589382,-95.3676974
Los Angeles CA,99,2019-03-25,34.0536909,-118.2427666
New York NY,36,2019-03-25,40.7127281,-74.0060152
Philadelphia PA,43,2019-03-25,39.9527237,-75.1635262
San Francisco,61,2019-03-25,37.7790262,-122.4199061
Washington DC,40,2019-03-25,38.8948932,-77.0365529
Boston MA,100,2019-04-01,42.3602534,-71.0582912
Chicago IL,81,2019-04-01,41.8755616,-87.6244212
Houston TX,59,2019-04-01,29.7589382,-95.3676974
Los Angeles CA,82,2019-04-01,34.0536909,-118.2427666
New York NY,71,2019-04-01,40.7127281,-74.0060152
Philadelphia PA,54,2019-04-01,39.9527237,-75.1635262
San Francisco,51,2019-04-01,37.7790262,-122.4199061
Washington DC,65,2019-04-01,38.8948932,-77.0365529
Atlanta GA,100,2019-04-08,33.7490987,-84.3901849
Boston MA,34,2019-04-08,42.3602534,-71.0582912
Chicago IL,44,2019-04-08,41.8755616,-87.6244212
Cleveland,65,2019-04-08,41.5051613,-81.6934446
Houston TX,82,2019-04-08,29.7589382,-95.3676974
Los Angeles CA,48,2019-04-08,34.0536909,-118.2427666
New York NY,35,2019-04-08,40.7127281,-74.0060152
San Francisco,98,2019-04-08,37.7790262,-122.4199061
Washington DC,35,2019-04-08,38.8948932,-77.0365529
Boston MA,100,2019-04-15,42.3602534,-71.0582912
Chicago IL,64,2019-04-15,41.8755616,-87.6244212
Cleveland,97,2019-04-15,41.5051613,-81.6934446
Houston TX,53,2019-04-15,29.7589382,-95.3676974
Los Angeles CA,38,2019-04-15,34.0536909,-118.2427666
New York NY,39,2019-04-15,40.7127281,-74.0060152
Philadelphia PA,43,2019-04-15,39.9527237,-75.1635262
San Francisco,39,2019-04-15,37.7790262,-122.4199061
Washington DC,82,2019-04-15,38.8948932,-77.0365529
Atlanta GA,44,2019-04-22,33.7490987,-84.3901849
Boston MA,50,2019-04-22,42.3602534,-71.0582912
Chicago IL,48,2019-04-22,41.8755616,-87.6244212
Cleveland,100,2019-04-22,41.5051613,-81.6934446
Houston TX,51,2019-04-22,29.7589382,-95.3676974
Los Angeles CA,49,2019-04-22,34.0536909,-118.2427666
New York NY,29,2019-04-22,40.7127281,-74.0060152
Philadelphia PA,45,2019-04-22,39.9527237,-75.1635262
San Francisco,66,2019-04-22,37.7790262,-122.4199061
Boston MA,100,2019-04-29,42.3602534,-71.0582912
Chicago IL,49,2019-04-29,41.8755616,-87.6244212
Los Angeles CA,39,2019-04-29,34.0536909,-118.2427666
New York NY,21,2019-04-29,40.7127281,-74.0060152
Philadelphia PA,43,2019-04-29,39.9527237,-75.1635262
San Francisco,39,2019-04-29,37.7790262,-122.4199061
Washington DC,40,2019-04-29,38.8948932,-77.0365529
Atlanta GA,66,2019-05-06,33.7490987,-84.3901849
Chicago IL,54,2019-05-06,41.8755616,-87.6244212
Los Angeles CA,33,2019-05-06,34.0536909,-118.2427666
New York NY,24,2019-05-06,40.7127281,-74.0060152
Philadelphia PA,74,2019-05-06,39.9527237,-75.1635262
San Francisco,65,2019-05-06,37.7790262,-122.4199061
Washington DC,100,2019-05-06,38.8948932,-77.0365529
Atlanta GA,100,2019-05-13,33.7490987,-84.3901849
Boston MA,99,2019-05-13,42.3602534,-71.0582912
Chicago IL,94,2019-05-13,41.8755616,-87.6244212
Houston TX,98,2019-05-13,29.7589382,-95.3676974
Los Angeles CA,38,2019-05-13,34.0536909,-118.2427666
New York NY,29,2019-05-13,40.7127281,-74.0060152
Philadelphia PA,87,2019-05-13,39.9527237,-75.1635262
San Francisco,73,2019-05-13,37.7790262,-122.4199061
Washington DC,79,2019-05-13,38.8948932,-77.0365529
Atlanta GA,63,2019-05-20,33.7490987,-84.3901849
Chicago IL,65,2019-05-20,41.8755616,-87.6244212
Los Angeles CA,47,2019-05-20,34.0536909,-118.2427666
New York NY,72,2019-05-20,40.7127281,-74.0060152
Philadelphia PA,53,2019-05-20,39.9527237,-75.1635262
San Francisco,45,2019-05-20,37.7790262,-122.4199061
Washington DC,100,2019-05-20,38.8948932,-77.0365529
Atlanta GA,48,2019-05-27,33.7490987,-84.3901849
Boston MA,49,2019-05-27,42.3602534,-71.0582912
Chicago IL,32,2019-05-27,41.8755616,-87.6244212
Cleveland,96,2019-05-27,41.5051613,-81.6934446
Houston TX,100,2019-05-27,29.7589382,-95.3676974
Los Angeles CA,32,2019-05-27,34.0536909,-118.2427666
New York NY,33,2019-05-27,40.7127281,-74.0060152
Philadelphia PA,64,2019-05-27,39.9527237,-75.1635262
San Francisco,36,2019-05-27,37.7790262,-122.4199061
Boston MA,50,2019-06-03,42.3602534,-71.0582912
Chicago IL,33,2019-06-03,41.8755616,-87.6244212
Cleveland,100,2019-06-03,41.5051613,-81.6934446
Los Angeles CA,19,2019-06-03,34.0536909,-118.2427666
New York NY,14,2019-06-03,40.7127281,-74.0060152
Philadelphia PA,43,2019-06-03,39.9527237,-75.1635262
Washington DC,40,2019-06-03,38.8948932,-77.0365529
Atlanta GA,50,2019-06-10,33.7490987,-84.3901849
Boston MA,50,2019-06-10,42.3602534,-71.0582912
Cleveland,97,2019-06-10,41.5051613,-81.6934446
Houston TX,100,2019-06-10,29.7589382,-95.3676974
Los Angeles CA,20,2019-06-10,34.0536909,-118.2427666
New York NY,13,2019-06-10,40.7127281,-74.0060152
Philadelphia PA,44,2019-06-10,39.9527237,-75.1635262
San Francisco,39,2019-06-10,37.7790262,-122.4199061
Boston MA,100,2019-06-17,42.3602534,-71.0582912
Los Angeles CA,80,2019-06-17,34.0536909,-118.2427666
Philadelphia PA,88,2019-06-17,39.9527237,-75.1635262
San Francisco,77,2019-06-17,37.7790262,-122.4199061
Atlanta GA,100,2019-06-24,33.7490987,-84.3901849
Boston MA,99,2019-06-24,42.3602534,-71.0582912
Chicago IL,65,2019-06-24,41.8755616,-87.6244212
Los Angeles CA,39,2019-06-24,34.0536909,-118.2427666
New York NY,28,2019-06-24,40.7127281,-74.0060152
San Francisco,79,2019-06-24,37.7790262,-122.4199061
Washington DC,82,2019-06-24,38.8948932,-77.0365529
Houston TX,100,2019-07-01,29.7589382,-95.3676974
Los Angeles CA,41,2019-07-01,34.0536909,-118.2427666
New York NY,31,2019-07-01,40.7127281,-74.0060152
Philadelphia PA,94,2019-07-01,39.9527237,-75.1635262
Atlanta GA,50,2019-07-08,33.7490987,-84.3901849
Boston MA,59,2019-07-08,42.3602534,-71.0582912
Cleveland,100,2019-07-08,41.5051613,-81.6934446
Houston TX,56,2019-07-08,29.7589382,-95.3676974
Los Angeles CA,22,2019-07-08,34.0536909,-118.2427666
New York NY,16,2019-07-08,40.7127281,-74.0060152
San Francisco,42,2019-07-08,37.7790262,-122.4199061
Los Angeles CA,26,2019-07-15,34.0536909,-118.2427666
San Francisco,100,2019-07-15,37.7790262,-122.4199061
Chicago IL,86,2019-07-22,41.8755616,-87.6244212
Los Angeles CA,50,2019-07-22,34.0536909,-118.2427666
