geoName,interest,date,lat,long,city
Seattle Washington United States of America,100,2019-01-01,47.6038321,-122.3300624,Seattle 
San Francisco California United States of America,100,2019-01-07,37.7790262,-122.4199061,San Francisco 
Cleveland Ohio United States of America,100,2019-01-14,41.5051613,-81.6934446,Cleveland 
New York New York United States of America,14,2019-01-14,36.1021436,-115.17449463280128,New York 
Cleveland Ohio United States of America,100,2019-01-21,41.5051613,-81.6934446,Cleveland 
Atlanta Georgia United States of America,100,2019-02-04,33.7490987,-84.3901849,Atlanta 
New York New York United States of America,27,2019-02-04,36.1021436,-115.17449463280128,New York 
Denver Colorado United States of America,100,2019-02-11,39.7392364,-104.9848623,Denver 
New York New York United States of America,19,2019-02-11,36.1021436,-115.17449463280128,New York 
Phoenix Arizona United States of America,94,2019-02-11,33.4484367,-112.0741417,Phoenix 
Denver Colorado United States of America,100,2019-02-18,39.7392364,-104.9848623,Denver 
New York New York United States of America,20,2019-02-18,36.1021436,-115.17449463280128,New York 
San Francisco California United States of America,55,2019-02-18,37.7790262,-122.4199061,San Francisco 
Miami Florida United States of America,75,2019-02-25,25.7742658,-80.1936589,Miami 
San Diego California United States of America,100,2019-02-25,32.7174209,-117.1627714,San Diego 
Atlanta Georgia United States of America,22,2019-03-04,33.7490987,-84.3901849,Atlanta 
Baltimore Maryland United States of America,30,2019-03-04,39.2908816,-76.610759,Baltimore 
Boston Massachusetts United States of America,28,2019-03-04,42.3602534,-71.0582912,Boston 
Charleston South Carolina United States of America,100,2019-03-04,32.7876012,-79.9402728,Charleston 
Cleveland Ohio United States of America,22,2019-03-04,41.5051613,-81.6934446,Cleveland 
Dallas Texas United States of America,25,2019-03-04,32.7762719,-96.7968559,Dallas 
Denver Colorado United States of America,33,2019-03-04,39.7392364,-104.9848623,Denver 
Detroit Michigan United States of America,18,2019-03-04,42.3315509,-83.0466403,Detroit 
Hartford Connecticut United States of America,31,2019-03-04,41.764582,-72.6908547,Hartford 
Houston Texas United States of America,27,2019-03-04,29.7589382,-95.3676974,Houston 
Los Angeles California United States of America,10,2019-03-04,34.0536909,-118.2427666,Los Angeles 
Miami Florida United States of America,24,2019-03-04,25.7742658,-80.1936589,Miami 
Milwaukee Wisconsin United States of America,33,2019-03-04,43.0349931,-87.922497,Milwaukee 
Nashville Tennessee United States of America,27,2019-03-04,36.1622296,-86.7743531,Nashville 
New York New York United States of America,5,2019-03-04,36.1021436,-115.17449463280128,New York 
Orlando Florida United States of America,17,2019-03-04,28.5421109,-81.3790304,Orlando 
Phoenix Arizona United States of America,16,2019-03-04,33.4484367,-112.0741417,Phoenix 
Portland Oregon United States of America,25,2019-03-04,45.5202471,-122.6741949,Portland 
Raleigh North Carolina United States of America,21,2019-03-04,35.7803977,-78.6390989,Raleigh 
Salt Lake City Utah United States of America,27,2019-03-04,40.7596198,-111.8867975,Salt Lake City 
San Francisco California United States of America,13,2019-03-04,37.7790262,-122.4199061,San Francisco 
Seattle Washington United States of America,58,2019-03-04,47.6038321,-122.3300624,Seattle 
Tampa Florida United States of America,14,2019-03-04,27.9477595,-82.458444,Tampa 
Washington District of Columbia United States of America,9,2019-03-04,38.8948932,-77.0365529,Washington 
Atlanta Georgia United States of America,34,2019-03-11,33.7490987,-84.3901849,Atlanta 
Austin Texas United States of America,50,2019-03-11,30.2711286,-97.7436995,Austin 
Baltimore Maryland United States of America,56,2019-03-11,39.2908816,-76.610759,Baltimore 
