geoName,interest,date,lat,long
Albany,7,2019-01-01,42.6511674,-73.754968
Amarillo TX,31,2019-01-01,35.2072185,-101.8338246
Anchorage AK,28,2019-01-01,61.2163129,-149.8948523
Atlanta GA,3,2019-01-01,33.7490987,-84.3901849
Augusta GA,20,2019-01-01,33.4709714,-81.9748429
Austin TX,8,2019-01-01,30.2711286,-97.7436995
Baltimore MD,4,2019-01-01,39.2908816,-76.610759
Bluefield,56,2019-01-01,37.2698395,-81.2223195
Boston MA,2,2019-01-01,42.3602534,-71.0582912
Cedar Rapids,14,2019-01-01,41.9758872,-91.6704053
Charleston,15,2019-01-01,32.7876012,-79.9402728
Charlotte NC,4,2019-01-01,35.2270869,-80.8431268
Chicago IL,2,2019-01-01,41.8755616,-87.6244212
Cincinnati OH,4,2019-01-01,39.1014537,-84.5124602
Cleveland,3,2019-01-01,41.5051613,-81.6934446
Dallas,4,2019-01-01,32.7762719,-96.7968559
Denver CO,2,2019-01-01,39.7348381,-104.9653271
Eugene OR,21,2019-01-01,44.0505054,-123.0950506
Grand Rapids,6,2019-01-01,42.9632405,-85.6678639
Great Falls MT,100,2019-01-01,47.5048851,-111.2918908
Green Bay,11,2019-01-01,44.5126379,-88.0125794
Greensboro,7,2019-01-01,36.0726355,-79.7919754
Hartford,4,2019-01-01,41.764582,-72.6908547
Honolulu HI,8,2019-01-01,21.304547,-157.8556764
Houston TX,1,2019-01-01,29.7589382,-95.3676974
Jackson MS,15,2019-01-01,28.530801699999998,-81.30324431076107
Jacksonville FL,6,2019-01-01,30.3321838,-81.655651
Johnstown,18,2019-01-01,40.3267407,-78.9219698
Knoxville TN,19,2019-01-01,35.9603948,-83.9210261
Little Rock,10,2019-01-01,34.7464809,-92.2895948
Los Angeles CA,2,2019-01-01,34.0536909,-118.2427666
Louisville KY,7,2019-01-01,38.2542376,-85.759407
Lubbock TX,34,2019-01-01,33.5635206,-101.879336
Madison WI,11,2019-01-01,43.074761,-89.3837613
Miami,2,2019-01-01,25.7742658,-80.1936589
Milwaukee WI,4,2019-01-01,43.0349931,-87.922497
Minneapolis,2,2019-01-01,44.9772995,-93.2654692
Nashville TN,3,2019-01-01,36.1622296,-86.7743531
New Orleans LA,7,2019-01-01,29.9499323,-90.0701156
New York NY,1,2019-01-01,40.7127281,-74.0060152
Oklahoma City OK,7,2019-01-01,35.4729886,-97.5170536
Omaha NE,9,2019-01-01,41.2587459,-95.9383758
Orlando,4,2019-01-01,28.5421109,-81.3790304
Philadelphia PA,2,2019-01-01,39.9527237,-75.1635262
Phoenix AZ,4,2019-01-01,33.4484367,-112.0741417
Portland OR,3,2019-01-01,45.5202471,-122.6741949
Portland,11,2019-01-01,45.5202471,-122.6741949
Raleigh,3,2019-01-01,35.7803977,-78.6390989
Roanoke,11,2019-01-01,37.270973,-79.9414313
Rochester NY,11,2019-01-01,43.157285,-77.615214
Sacramento,3,2019-01-01,38.5815719,-121.4943996
San Antonio TX,4,2019-01-01,29.4246002,-98.4951405
San Diego CA,3,2019-01-01,32.7174209,-117.1627714
San Francisco,3,2019-01-01,37.7790262,-122.4199061
Seattle,4,2019-01-01,47.6038321,-122.3300624
Shreveport LA,18,2019-01-01,32.5221828,-93.7651944
Spokane WA,12,2019-01-01,47.6579425,-117.4212265
St. Louis MO,7,2019-01-01,38.6529545,-90.24111656024635
Tampa,4,2019-01-01,27.9477595,-82.458444
Toledo OH,12,2019-01-01,41.6786754,-83.5127283
