geoName,interest,date,lat,long
Oklahoma City OK USA,100,2019-01-07,35.4729886,-97.5170536
Atlanta GA USA,31,2019-01-14,33.7490987,-84.3901849
Miami FL USA,47,2019-01-14,25.7742658,-80.1936589
Philadelphia PA USA,29,2019-01-14,39.9527237,-75.1635262
San Antonio TX USA,100,2019-01-14,29.4246002,-98.4951405
Boston MA USA,22,2019-01-21,42.3602534,-71.0582912
Hartford CT USA,60,2019-01-21,43.648048,-70.241416
Jacksonville FL USA,100,2019-01-21,30.3321838,-81.655651
Washington DC USA,18,2019-01-21,38.8948932,-77.0365529
Atlanta GA USA,2,2019-01-28,33.7490987,-84.3901849
Chicago IL USA,1,2019-01-28,41.8755616,-87.6244212
Dallas TX USA,2,2019-01-28,32.7762719,-96.7968559
Detroit MI USA,3,2019-01-28,42.3315509,-83.0466403
Flint MI USA,18,2019-01-28,43.0161693,-83.6900211
Grand Rapids MI USA,9,2019-01-28,42.9142413,-85.533004
Jackson TN USA,100,2019-01-28,35.6144446,-88.8177418
Tampa FL USA,3,2019-01-28,27.9518491,-82.4563972
Albuquerque NM USA,100,2019-02-04,35.0841034,-106.6509851
Boston MA USA,20,2019-02-04,42.3602534,-71.0582912
Boston MA USA,100,2019-02-11,42.3602534,-71.0582912
Phoenix AZ USA,27,2019-02-18,33.4484367,-112.0741417
Richmond VA USA,100,2019-02-18,37.5385087,-77.43428
San Diego CA USA,39,2019-02-18,32.7174209,-117.1627714
West Palm Beach FL USA,77,2019-02-18,26.7153425,-80.0533746
Portland OR USA,100,2019-02-25,45.5202471,-122.6741949
San Francisco CA USA,35,2019-02-25,37.7790262,-122.4199061
Atlanta GA USA,100,2019-03-04,33.7490987,-84.3901849
Boston MA USA,2,2019-03-11,42.3602534,-71.0582912
Chicago IL USA,1,2019-03-11,41.8755616,-87.6244212
Detroit MI USA,3,2019-03-11,42.3315509,-83.0466403
Greenville NC USA,25,2019-03-11,35.612661,-77.3663538
Houston TX USA,2,2019-03-11,29.7589382,-95.3676974
Jacksonville FL USA,10,2019-03-11,30.3321838,-81.655651
Laredo TX USA,100,2019-03-11,27.5199841,-99.4953764
Miami FL USA,3,2019-03-11,25.7742658,-80.1936589
New York NY USA,1,2019-03-11,40.7127281,-74.0060152
Norfolk VA USA,8,2019-03-11,36.8889933,-76.2481624
Atlanta GA USA,3,2019-03-18,33.7490987,-84.3901849
Austin TX USA,5,2019-03-18,30.2711286,-97.7436995
Baltimore MD USA,5,2019-03-18,39.284749399999995,-76.62047463969989
Buffalo NY USA,9,2019-03-18,42.8867166,-78.8783922
Cleveland OH USA,3,2019-03-18,41.5051613,-81.6934446
Denver CO USA,3,2019-03-18,39.7348381,-104.9653271
El Paso TX USA,17,2019-03-18,31.7754152,-106.4646348
Ft. Myers FL USA,10,2019-03-18,26.640628,-81.8723084
Greenville NC USA,19,2019-03-18,35.612661,-77.3663538
Huntsville AL USA,18,2019-03-18,33.554113,-86.804219
Kansas City MO USA,5,2019-03-18,39.100105,-94.5781416
Los Angeles CA USA,2,2019-03-18,34.0536909,-118.2427666
Miami FL USA,5,2019-03-18,25.7742658,-80.1936589
Nashville TN USA,4,2019-03-18,36.1622296,-86.7743531
New York NY USA,1,2019-03-18,40.7127281,-74.0060152
Orlando FL USA,4,2019-03-18,28.5479786,-81.41278418563017
Raleigh NC USA,3,2019-03-18,35.7803977,-78.6390989
Sacramento CA USA,3,2019-03-18,38.5815719,-121.4943996
San Francisco CA USA,1,2019-03-18,37.7790262,-122.4199061
Tampa FL USA,3,2019-03-18,27.9518491,-82.4563972
Twin Falls ID USA,100,2019-03-18,42.5704219,-114.4603171
West Palm Beach FL USA,7,2019-03-18,26.7153425,-80.0533746
Albany NY USA,25,2019-03-25,42.6511674,-73.754968
Traverse City MI USA,100,2019-03-25,44.7606441,-85.6165301
Washington DC USA,4,2019-03-25,38.8948932,-77.0365529
West Palm Beach FL USA,19,2019-03-25,26.7153425,-80.0533746
Lincoln NE USA,100,2019-04-01,40.8088861,-96.7077751
Los Angeles CA USA,3,2019-04-01,34.0536909,-118.2427666
New York NY USA,2,2019-04-01,40.7127281,-74.0060152
Washington DC USA,6,2019-04-01,38.8948932,-77.0365529
New York NY USA,100,2019-04-08,40.7127281,-74.0060152
New York NY USA,7,2019-04-15,40.7127281,-74.0060152
West Palm Beach FL USA,100,2019-04-15,26.7153425,-80.0533746
West Palm Beach FL USA,100,2019-04-22,26.7153425,-80.0533746
Seattle WA USA,100,2019-04-29,47.6038321,-122.3300624
Denver CO USA,100,2019-05-13,39.7348381,-104.9653271
Charleston SC USA,26,2019-05-20,32.7876012,-79.9402728
Columbus MS USA,100,2019-05-20,43.336875649999996,-89.0196532340367
Dallas TX USA,2,2019-05-20,32.7762719,-96.7968559
Jacksonville FL USA,13,2019-05-20,30.3321838,-81.655651
Little Rock AR USA,21,2019-05-20,34.7464809,-92.2895948
Los Angeles CA USA,1,2019-05-20,34.0536909,-118.2427666
New York NY USA,1,2019-05-20,40.7127281,-74.0060152
Omaha NE USA,17,2019-05-20,41.2587459,-95.9383758
San Antonio TX USA,9,2019-05-20,29.4246002,-98.4951405
South Bend IN USA,33,2019-05-20,41.6833813,-86.2500066
Washington DC USA,2,2019-05-20,38.8948932,-77.0365529
Atlanta GA USA,12,2019-05-27,33.7490987,-84.3901849
Boston MA USA,12,2019-05-27,42.3602534,-71.0582912
Denver CO USA,19,2019-05-27,39.7348381,-104.9653271
Detroit MI USA,19,2019-05-27,42.3315509,-83.0466403
Greensboro NC USA,65,2019-05-27,36.0726355,-79.7919754
Milwaukee WI USA,37,2019-05-27,43.0349931,-87.922497
New York NY USA,4,2019-05-27,40.7127281,-74.0060152
Raleigh NC USA,24,2019-05-27,35.7803977,-78.6390989
Rochester NY USA,100,2019-05-27,43.157285,-77.615214
San Francisco CA USA,9,2019-05-27,37.7790262,-122.4199061
Washington DC USA,10,2019-05-27,38.8948932,-77.0365529
Boston MA USA,6,2019-06-03,42.3602534,-71.0582912
Dallas TX USA,5,2019-06-03,32.7762719,-96.7968559
Evansville IN USA,100,2019-06-03,37.9747645,-87.5558483
