geoName,interest,date,lat,long,city
Los Angeles California United States of America,3,2019-01-14,34.0536909,-118.2427666,Los Angeles 
Milwaukee Wisconsin United States of America,16,2019-01-14,43.0349931,-87.922497,Milwaukee 
Minneapolis Minnesota United States of America,8,2019-01-14,44.9772995,-93.2654692,Minneapolis 
New York New York United States of America,3,2019-01-14,36.1021436,-115.17449463280128,New York 
Philadelphia Pennsylvania United States of America,14,2019-01-14,39.9527237,-75.1635262,Philadelphia 
Pittsburgh Pennsylvania United States of America,15,2019-01-14,40.4416941,-79.9900861,Pittsburgh 
Portland Oregon United States of America,15,2019-01-14,45.5202471,-122.6741949,Portland 
Richmond Virginia United States of America,28,2019-01-14,37.5385087,-77.43428,Richmond 
Sacramento California United States of America,16,2019-01-14,38.5815719,-121.4943996,Sacramento 
Salt Lake City Utah United States of America,13,2019-01-14,40.7596198,-111.8867975,Salt Lake City 
San Diego California United States of America,10,2019-01-14,32.7174209,-117.1627714,San Diego 
San Francisco California United States of America,18,2019-01-14,37.7790262,-122.4199061,San Francisco 
Santa Barbara California United States of America,57,2019-01-14,34.4221319,-119.7026673,Santa Barbara 
Seattle Washington United States of America,13,2019-01-14,47.6038321,-122.3300624,Seattle 
Spokane Washington United States of America,43,2019-01-14,47.6579425,-117.4212265,Spokane 
St. Louis Missouri United States of America,26,2019-01-14,38.6529545,-90.24111656024635,St. Louis 
Tallahassee Florida United States of America,67,2019-01-14,30.4380832,-84.2809332,Tallahassee 
Tampa Florida United States of America,9,2019-01-14,27.9477595,-82.458444,Tampa 
Traverse City Michigan United States of America,100,2019-01-14,44.7606441,-85.6165301,Traverse City 
Tulsa Oklahoma United States of America,37,2019-01-14,36.1556805,-95.9929113,Tulsa 
Waco Texas United States of America,44,2019-01-14,31.549333,-97.1466695,Waco 
Washington District of Columbia United States of America,11,2019-01-14,38.8948932,-77.0365529,Washington 
Wichita Kansas United States of America,43,2019-01-14,37.6922361,-97.3375448,Wichita 
Wilmington North Carolina United States of America,95,2019-01-14,34.2257282,-77.9447107,Wilmington 
Atlanta Georgia United States of America,2,2019-01-21,33.7490987,-84.3901849,Atlanta 
Baltimore Maryland United States of America,6,2019-01-21,39.2908816,-76.610759,Baltimore 
Boston Massachusetts United States of America,2,2019-01-21,42.3602534,-71.0582912,Boston 
Burlington Vermont United States of America,22,2019-01-21,44.4762975,-73.2135472,Burlington 
Charlotte North Carolina United States of America,5,2019-01-21,35.2270869,-80.8431268,Charlotte 
Cleveland Ohio United States of America,4,2019-01-21,41.5051613,-81.6934446,Cleveland 
Columbus Ohio United States of America,6,2019-01-21,39.9622601,-83.0007065,Columbus 
Dallas Texas United States of America,2,2019-01-21,32.7762719,-96.7968559,Dallas 
Denver Colorado United States of America,9,2019-01-21,39.7392364,-104.9848623,Denver 
Harrisburg Pennsylvania United States of America,10,2019-01-21,40.2663107,-76.8861122,Harrisburg 
Houston Texas United States of America,2,2019-01-21,29.7589382,-95.3676974,Houston 
Lafayette Indiana United States of America,100,2019-01-21,40.4167022,-86.8752869,Lafayette 
Lansing Michigan United States of America,27,2019-01-21,42.7337712,-84.5553805,Lansing 
Los Angeles California United States of America,2,2019-01-21,34.0536909,-118.2427666,Los Angeles 
Miami Florida United States of America,3,2019-01-21,25.7742658,-80.1936589,Miami 
Nashville Tennessee United States of America,5,2019-01-21,36.1622296,-86.7743531,Nashville 
New York New York United States of America,1,2019-01-21,36.1021436,-115.17449463280128,New York 
Orlando Florida United States of America,3,2019-01-21,28.5421109,-81.3790304,Orlando 
Panama City Florida United States of America,57,2019-01-21,30.1600827,-85.6545729,Panama City 
Peoria Illinois United States of America,28,2019-01-21,40.6938609,-89.5891008,Peoria 
Philadelphia Pennsylvania United States of America,2,2019-01-21,39.9527237,-75.1635262,Philadelphia 
Phoenix Arizona United States of America,6,2019-01-21,33.4484367,-112.0741417,Phoenix 
Portland Oregon United States of America,5,2019-01-21,45.5202471,-122.6741949,Portland 
Raleigh North Carolina United States of America,4,2019-01-21,35.7803977,-78.6390989,Raleigh 
Richmond Virginia United States of America,11,2019-01-21,37.5385087,-77.43428,Richmond 
Roanoke Virginia United States of America,15,2019-01-21,37.270973,-79.9414313,Roanoke 
Sacramento California United States of America,4,2019-01-21,38.5815719,-121.4943996,Sacramento 
Salt Lake City Utah United States of America,5,2019-01-21,40.7596198,-111.8867975,Salt Lake City 
San Antonio Texas United States of America,6,2019-01-21,29.4246002,-98.4951405,San Antonio 
San Diego California United States of America,8,2019-01-21,32.7174209,-117.1627714,San Diego 
San Francisco California United States of America,2,2019-01-21,37.7790262,-122.4199061,San Francisco 
Santa Barbara California United States of America,24,2019-01-21,34.4221319,-119.7026673,Santa Barbara 
Savannah Georgia United States of America,20,2019-01-21,32.0809263,-81.0911768,Savannah 
Seattle Washington United States of America,3,2019-01-21,47.6038321,-122.3300624,Seattle 
