Category: All categories

Week,Boeing 737 crashes: (United States)
2019-01-06,1
2019-01-13,1
2019-01-20,0
2019-01-27,1
2019-02-03,0
2019-02-10,0
2019-02-17,1
2019-02-24,0
2019-03-03,1
2019-03-10,100
2019-03-17,14
2019-03-24,18
2019-03-31,8
2019-04-07,7
2019-04-14,5
2019-04-21,4
2019-04-28,4
2019-05-05,4
2019-05-12,3
2019-05-19,4
2019-05-26,2
2019-06-02,3
2019-06-09,2
2019-06-16,6
2019-06-23,2
2019-06-30,3
2019-07-07,2
2019-07-14,4
2019-07-21,3
2019-07-28,2
2019-08-04,2
2019-08-11,1
2019-08-18,2
2019-08-25,1
2019-09-01,1
2019-09-08,1
2019-09-15,2
2019-09-22,1
2019-09-29,2
2019-10-06,2
2019-10-13,3
2019-10-20,2
2019-10-27,5
2019-11-03,3
2019-11-10,2
2019-11-17,3
2019-11-24,2
2019-12-01,4
2019-12-08,3
2019-12-15,5
2019-12-22,6
2019-12-29,1
