topic,Week,interest
California earthquake,2019-06-02,2
California earthquake,2019-06-09,1
California earthquake,2019-06-16,1
California earthquake,2019-06-23,1
California earthquake,2019-06-30,100
California earthquake,2019-07-07,26
California earthquake,2019-07-14,5
California earthquake,2019-07-21,3
California earthquake,2019-07-28,1
California earthquake,2019-08-04,1
California earthquake,2019-08-11,1
California earthquake,2019-08-18,1
California earthquake,2019-08-25,1
California earthquake,2019-09-01,1
California earthquake,2019-09-08,1
California earthquake,2019-09-15,1
California earthquake,2019-09-22,1
California earthquake,2019-09-29,1
California earthquake,2019-10-06,1
California earthquake,2019-10-13,6
California earthquake,2019-10-20,1
California earthquake,2019-10-27,1
California earthquake,2019-11-03,1
California earthquake,2019-11-10,1
California earthquake,2019-11-17,1
California earthquake,2019-11-24,1
California earthquake,2019-12-01,1
California earthquake,2019-12-08,1
California earthquake,2019-12-15,1
California earthquake,2019-12-22,1
California earthquake,2019-12-29,1
California wildfires,2019-01-06,5
California wildfires,2019-01-13,5
California wildfires,2019-01-20,4
California wildfires,2019-01-27,5
California wildfires,2019-02-03,5
California wildfires,2019-02-10,4
California wildfires,2019-02-17,4
California wildfires,2019-02-24,4
California wildfires,2019-03-03,4
California wildfires,2019-03-10,4
California wildfires,2019-03-17,4
California wildfires,2019-03-24,4
California wildfires,2019-03-31,4
California wildfires,2019-04-07,5
California wildfires,2019-04-14,5
California wildfires,2019-04-21,5
California wildfires,2019-04-28,5
California wildfires,2019-05-05,5
California wildfires,2019-05-12,5
California wildfires,2019-05-19,5
California wildfires,2019-05-26,6
California wildfires,2019-06-02,6
California wildfires,2019-06-09,9
California wildfires,2019-06-16,6
California wildfires,2019-06-23,5
California wildfires,2019-06-30,5
California wildfires,2019-07-07,5
California wildfires,2019-07-14,5
California wildfires,2019-07-21,6
California wildfires,2019-07-28,6
California wildfires,2019-08-04,5
California wildfires,2019-08-11,5
California wildfires,2019-08-18,5
California wildfires,2019-08-25,4
California wildfires,2019-09-01,5
California wildfires,2019-09-08,5
California wildfires,2019-09-15,3
California wildfires,2019-09-22,3
California wildfires,2019-09-29,3
California wildfires,2019-10-06,32
California wildfires,2019-10-13,11
California wildfires,2019-10-20,24
California wildfires,2019-10-27,100
California wildfires,2019-11-03,18
California wildfires,2019-11-10,7
California wildfires,2019-11-17,5
California wildfires,2019-11-24,4
California wildfires,2019-12-01,4
California wildfires,2019-12-08,2
California wildfires,2019-12-15,2
California wildfires,2019-12-22,2
California wildfires,2019-12-29,2
Christchurch shooting,2019-01-06,0
Christchurch shooting,2019-01-13,0
Christchurch shooting,2019-01-20,0
Christchurch shooting,2019-01-27,0
Christchurch shooting,2019-02-03,0
Christchurch shooting,2019-02-10,0
Christchurch shooting,2019-02-17,0
Christchurch shooting,2019-02-24,<1
Christchurch shooting,2019-03-03,0
Christchurch shooting,2019-03-10,100
Christchurch shooting,2019-03-17,34
Christchurch shooting,2019-03-24,3
Christchurch shooting,2019-03-31,2
Christchurch shooting,2019-04-07,2
Christchurch shooting,2019-04-14,1
Christchurch shooting,2019-04-21,3
Christchurch shooting,2019-04-28,3
Christchurch shooting,2019-05-05,1
Christchurch shooting,2019-05-12,1
Christchurch shooting,2019-05-19,1
Christchurch shooting,2019-05-26,1
Christchurch shooting,2019-06-02,<1
Christchurch shooting,2019-06-09,<1
Christchurch shooting,2019-06-16,1
Christchurch shooting,2019-06-23,<1
Christchurch shooting,2019-06-30,<1
Christchurch shooting,2019-07-07,<1
Christchurch shooting,2019-07-14,<1
Christchurch shooting,2019-07-21,<1
Christchurch shooting,2019-07-28,1
Christchurch shooting,2019-08-04,4
Christchurch shooting,2019-08-11,1
Christchurch shooting,2019-08-18,<1
Christchurch shooting,2019-08-25,<1
Christchurch shooting,2019-09-01,<1
Christchurch shooting,2019-09-08,1
Christchurch shooting,2019-09-15,1
Christchurch shooting,2019-09-22,<1
Christchurch shooting,2019-09-29,<1
Christchurch shooting,2019-10-06,1
Christchurch shooting,2019-10-13,<1
Christchurch shooting,2019-10-20,<1
Christchurch shooting,2019-10-27,<1
Christchurch shooting,2019-11-03,<1
Christchurch shooting,2019-11-10,<1
Christchurch shooting,2019-11-17,<1
Christchurch shooting,2019-11-24,<1
Christchurch shooting,2019-12-01,<1
Christchurch shooting,2019-12-08,<1
Christchurch shooting,2019-12-15,<1
Christchurch shooting,2019-12-22,<1
Christchurch shooting,2019-12-29,1
Coco Gauff,2019-01-06,<1
Coco Gauff,2019-01-13,<1
Coco Gauff,2019-01-20,<1
Coco Gauff,2019-01-27,<1
Coco Gauff,2019-02-03,<1
Coco Gauff,2019-02-10,0
Coco Gauff,2019-02-17,<1
Coco Gauff,2019-02-24,<1
Coco Gauff,2019-03-03,<1
Coco Gauff,2019-03-10,<1
Coco Gauff,2019-03-17,1
Coco Gauff,2019-03-24,<1
Coco Gauff,2019-03-31,<1
Coco Gauff,2019-04-07,<1
Coco Gauff,2019-04-14,<1
Coco Gauff,2019-04-21,<1
Coco Gauff,2019-04-28,<1
Coco Gauff,2019-05-05,<1
Coco Gauff,2019-05-12,<1
Coco Gauff,2019-05-19,<1
Coco Gauff,2019-05-26,<1
Coco Gauff,2019-06-02,<1
Coco Gauff,2019-06-09,<1
Coco Gauff,2019-06-16,<1
Coco Gauff,2019-06-23,1
Coco Gauff,2019-06-30,100
Coco Gauff,2019-07-07,61
Coco Gauff,2019-07-14,3
Coco Gauff,2019-07-21,1
Coco Gauff,2019-07-28,4
Coco Gauff,2019-08-04,1
Coco Gauff,2019-08-11,1
Coco Gauff,2019-08-18,3
Coco Gauff,2019-08-25,91
Coco Gauff,2019-09-01,45
Coco Gauff,2019-09-08,2
Coco Gauff,2019-09-15,1
Coco Gauff,2019-09-22,<1
Coco Gauff,2019-09-29,1
Coco Gauff,2019-10-06,2
Coco Gauff,2019-10-13,7
Coco Gauff,2019-10-20,1
Coco Gauff,2019-10-27,1
Coco Gauff,2019-11-03,<1
Coco Gauff,2019-11-10,<1
Coco Gauff,2019-11-17,<1
Coco Gauff,2019-11-24,1
Coco Gauff,2019-12-01,<1
Coco Gauff,2019-12-08,<1
Coco Gauff,2019-12-15,<1
Coco Gauff,2019-12-22,<1
Coco Gauff,2019-12-29,1
College Football Playoff,2019-01-06,19
College Football Playoff,2019-01-13,2
College Football Playoff,2019-01-20,1
College Football Playoff,2019-01-27,1
College Football Playoff,2019-02-03,1
College Football Playoff,2019-02-10,1
College Football Playoff,2019-02-17,<1
College Football Playoff,2019-02-24,<1
College Football Playoff,2019-03-03,<1
College Football Playoff,2019-03-10,1
College Football Playoff,2019-03-17,1
College Football Playoff,2019-03-24,2
College Football Playoff,2019-03-31,1
College Football Playoff,2019-04-07,1
College Football Playoff,2019-04-14,<1
College Football Playoff,2019-04-21,1
College Football Playoff,2019-04-28,1
College Football Playoff,2019-05-05,<1
College Football Playoff,2019-05-12,1
College Football Playoff,2019-05-19,1
College Football Playoff,2019-05-26,<1
College Football Playoff,2019-06-02,1
College Football Playoff,2019-06-09,<1
College Football Playoff,2019-06-16,<1
College Football Playoff,2019-06-23,1
College Football Playoff,2019-06-30,<1
College Football Playoff,2019-07-07,1
College Football Playoff,2019-07-14,1
College Football Playoff,2019-07-21,1
College Football Playoff,2019-07-28,1
College Football Playoff,2019-08-04,1
College Football Playoff,2019-08-11,1
