topic,Week,interest
Katelyn Ohashi,2019-01-27,6
Katelyn Ohashi,2019-02-03,4
Katelyn Ohashi,2019-02-10,5
Katelyn Ohashi,2019-02-17,4
Katelyn Ohashi,2019-02-24,2
Katelyn Ohashi,2019-03-03,6
Katelyn Ohashi,2019-03-10,2
Katelyn Ohashi,2019-03-17,3
Katelyn Ohashi,2019-03-24,5
Katelyn Ohashi,2019-03-31,2
Katelyn Ohashi,2019-04-07,3
Katelyn Ohashi,2019-04-14,2
Katelyn Ohashi,2019-04-21,14
Katelyn Ohashi,2019-04-28,3
Katelyn Ohashi,2019-05-05,2
Katelyn Ohashi,2019-05-12,1
Katelyn Ohashi,2019-05-19,2
Katelyn Ohashi,2019-05-26,2
Katelyn Ohashi,2019-06-02,1
Katelyn Ohashi,2019-06-09,1
Katelyn Ohashi,2019-06-16,2
Katelyn Ohashi,2019-06-23,2
Katelyn Ohashi,2019-06-30,3
Katelyn Ohashi,2019-07-07,8
Katelyn Ohashi,2019-07-14,1
Katelyn Ohashi,2019-07-21,1
Katelyn Ohashi,2019-07-28,1
Katelyn Ohashi,2019-08-04,4
Katelyn Ohashi,2019-08-11,3
Katelyn Ohashi,2019-08-18,2
Katelyn Ohashi,2019-08-25,2
Katelyn Ohashi,2019-09-01,12
Katelyn Ohashi,2019-09-08,4
Katelyn Ohashi,2019-09-15,2
Katelyn Ohashi,2019-09-22,2
Katelyn Ohashi,2019-09-29,2
Katelyn Ohashi,2019-10-06,4
Katelyn Ohashi,2019-10-13,3
Katelyn Ohashi,2019-10-20,2
Katelyn Ohashi,2019-10-27,2
Katelyn Ohashi,2019-11-03,1
Katelyn Ohashi,2019-11-10,1
Katelyn Ohashi,2019-11-17,1
Katelyn Ohashi,2019-11-24,1
Katelyn Ohashi,2019-12-01,1
Katelyn Ohashi,2019-12-08,1
Katelyn Ohashi,2019-12-15,1
Katelyn Ohashi,2019-12-22,2
Katelyn Ohashi,2019-12-29,2
Lori Loughlin college scandal,2019-01-06,0
Lori Loughlin college scandal,2019-01-13,0
Lori Loughlin college scandal,2019-01-20,0
Lori Loughlin college scandal,2019-01-27,0
Lori Loughlin college scandal,2019-02-03,0
Lori Loughlin college scandal,2019-02-10,0
Lori Loughlin college scandal,2019-02-17,0
Lori Loughlin college scandal,2019-02-24,0
Lori Loughlin college scandal,2019-03-03,0
Lori Loughlin college scandal,2019-03-10,100
Lori Loughlin college scandal,2019-03-17,26
Lori Loughlin college scandal,2019-03-24,9
Lori Loughlin college scandal,2019-03-31,12
Lori Loughlin college scandal,2019-04-07,16
Lori Loughlin college scandal,2019-04-14,8
Lori Loughlin college scandal,2019-04-21,7
Lori Loughlin college scandal,2019-04-28,6
Lori Loughlin college scandal,2019-05-05,4
Lori Loughlin college scandal,2019-05-12,6
Lori Loughlin college scandal,2019-05-19,6
Lori Loughlin college scandal,2019-05-26,6
Lori Loughlin college scandal,2019-06-02,2
Lori Loughlin college scandal,2019-06-09,3
Lori Loughlin college scandal,2019-06-16,2
Lori Loughlin college scandal,2019-06-23,3
Lori Loughlin college scandal,2019-06-30,3
Lori Loughlin college scandal,2019-07-07,2
Lori Loughlin college scandal,2019-07-14,2
Lori Loughlin college scandal,2019-07-21,1
Lori Loughlin college scandal,2019-07-28,2
Lori Loughlin college scandal,2019-08-04,2
Lori Loughlin college scandal,2019-08-11,1
Lori Loughlin college scandal,2019-08-18,2
Lori Loughlin college scandal,2019-08-25,3
Lori Loughlin college scandal,2019-09-01,3
Lori Loughlin college scandal,2019-09-08,10
Lori Loughlin college scandal,2019-09-15,2
Lori Loughlin college scandal,2019-09-22,5
Lori Loughlin college scandal,2019-09-29,5
Lori Loughlin college scandal,2019-10-06,3
Lori Loughlin college scandal,2019-10-13,8
Lori Loughlin college scandal,2019-10-20,7
Lori Loughlin college scandal,2019-10-27,3
Lori Loughlin college scandal,2019-11-03,4
Lori Loughlin college scandal,2019-11-10,2
Lori Loughlin college scandal,2019-11-17,3
Lori Loughlin college scandal,2019-11-24,2
Lori Loughlin college scandal,2019-12-01,4
Lori Loughlin college scandal,2019-12-08,4
Lori Loughlin college scandal,2019-12-15,1
Lori Loughlin college scandal,2019-12-22,2
Lori Loughlin college scandal,2019-12-29,3
MLS Cup,2019-01-06,2
MLS Cup,2019-01-13,2
MLS Cup,2019-01-20,1
MLS Cup,2019-01-27,1
MLS Cup,2019-02-03,5
MLS Cup,2019-02-10,1
MLS Cup,2019-02-17,1
MLS Cup,2019-02-24,2
MLS Cup,2019-03-03,3
MLS Cup,2019-03-10,1
MLS Cup,2019-03-17,1
MLS Cup,2019-03-24,1
MLS Cup,2019-03-31,1
MLS Cup,2019-04-07,1
MLS Cup,2019-04-14,1
MLS Cup,2019-04-21,1
MLS Cup,2019-04-28,1
MLS Cup,2019-05-05,1
MLS Cup,2019-05-12,1
MLS Cup,2019-05-19,1
MLS Cup,2019-05-26,1
MLS Cup,2019-06-02,2
MLS Cup,2019-06-09,2
MLS Cup,2019-06-16,1
MLS Cup,2019-06-23,1
MLS Cup,2019-06-30,1
MLS Cup,2019-07-07,2
MLS Cup,2019-07-14,1
MLS Cup,2019-07-21,2
MLS Cup,2019-07-28,1
MLS Cup,2019-08-04,2
MLS Cup,2019-08-11,2
MLS Cup,2019-08-18,2
MLS Cup,2019-08-25,2
MLS Cup,2019-09-01,1
MLS Cup,2019-09-08,1
MLS Cup,2019-09-15,1
MLS Cup,2019-09-22,3
MLS Cup,2019-09-29,2
MLS Cup,2019-10-06,5
MLS Cup,2019-10-13,4
MLS Cup,2019-10-20,21
MLS Cup,2019-10-27,63
MLS Cup,2019-11-03,43
MLS Cup,2019-11-10,100
MLS Cup,2019-11-17,4
MLS Cup,2019-11-24,2
MLS Cup,2019-12-01,2
MLS Cup,2019-12-08,1
MLS Cup,2019-12-15,1
MLS Cup,2019-12-22,1
MLS Cup,2019-12-29,1
Muller Report,2019-01-06,<1
Muller Report,2019-01-13,1
Muller Report,2019-01-20,1
Muller Report,2019-01-27,1
Muller Report,2019-02-03,<1
Muller Report,2019-02-10,1
Muller Report,2019-02-17,2
Muller Report,2019-02-24,2
Muller Report,2019-03-03,2
Muller Report,2019-03-10,3
Muller Report,2019-03-17,18
Muller Report,2019-03-24,36
Muller Report,2019-03-31,8
Muller Report,2019-04-07,4
Muller Report,2019-04-14,100
Muller Report,2019-04-21,29
Muller Report,2019-04-28,11
Muller Report,2019-05-05,7
Muller Report,2019-05-12,4
Muller Report,2019-05-19,3
Muller Report,2019-05-26,11
Muller Report,2019-06-02,4
Muller Report,2019-06-09,3
Muller Report,2019-06-16,2
Muller Report,2019-06-23,4
Muller Report,2019-06-30,2
Muller Report,2019-07-07,2
Muller Report,2019-07-14,2
Muller Report,2019-07-21,18
Muller Report,2019-07-28,2
Muller Report,2019-08-04,1
Muller Report,2019-08-11,1
Muller Report,2019-08-18,1
Muller Report,2019-08-25,<1
Muller Report,2019-09-01,<1
Muller Report,2019-09-08,<1
Muller Report,2019-09-15,1
Muller Report,2019-09-22,1
Muller Report,2019-09-29,1
Muller Report,2019-10-06,1
Muller Report,2019-10-13,1
Muller Report,2019-10-20,1
Muller Report,2019-10-27,1
Muller Report,2019-11-03,1
Muller Report,2019-11-10,1
Muller Report,2019-11-17,<1
Muller Report,2019-11-24,<1
Muller Report,2019-12-01,1
Muller Report,2019-12-08,1
Muller Report,2019-12-15,1
Muller Report,2019-12-22,<1
Muller Report,2019-12-29,<1
NCAA Men's Division I Basketball Tournament,2019-01-06,2
NCAA Men's Division I Basketball Tournament,2019-01-13,1
NCAA Men's Division I Basketball Tournament,2019-01-20,1
NCAA Men's Division I Basketball Tournament,2019-01-27,1
NCAA Men's Division I Basketball Tournament,2019-02-03,2
NCAA Men's Division I Basketball Tournament,2019-02-10,2
NCAA Men's Division I Basketball Tournament,2019-02-17,2
NCAA Men's Division I Basketball Tournament,2019-02-24,3
NCAA Men's Division I Basketball Tournament,2019-03-03,5
NCAA Men's Division I Basketball Tournament,2019-03-10,10
NCAA Men's Division I Basketball Tournament,2019-03-17,100
NCAA Men's Division I Basketball Tournament,2019-03-24,50
NCAA Men's Division I Basketball Tournament,2019-03-31,24
NCAA Men's Division I Basketball Tournament,2019-04-07,21
NCAA Men's Division I Basketball Tournament,2019-04-14,1
NCAA Men's Division I Basketball Tournament,2019-04-21,1
NCAA Men's Division I Basketball Tournament,2019-04-28,<1
NCAA Men's Division I Basketball Tournament,2019-05-05,<1
NCAA Men's Division I Basketball Tournament,2019-05-12,<1
NCAA Men's Division I Basketball Tournament,2019-05-19,<1
NCAA Men's Division I Basketball Tournament,2019-05-26,<1
NCAA Men's Division I Basketball Tournament,2019-06-02,<1
NCAA Men's Division I Basketball Tournament,2019-06-09,<1
NCAA Men's Division I Basketball Tournament,2019-06-16,1
NCAA Men's Division I Basketball Tournament,2019-06-23,<1
NCAA Men's Division I Basketball Tournament,2019-06-30,<1
NCAA Men's Division I Basketball Tournament,2019-07-07,<1
NCAA Men's Division I Basketball Tournament,2019-07-14,<1
NCAA Men's Division I Basketball Tournament,2019-07-21,<1
NCAA Men's Division I Basketball Tournament,2019-07-28,<1
NCAA Men's Division I Basketball Tournament,2019-08-04,<1
NCAA Men's Division I Basketball Tournament,2019-08-11,<1
NCAA Men's Division I Basketball Tournament,2019-08-18,<1
NCAA Men's Division I Basketball Tournament,2019-08-25,<1
NCAA Men's Division I Basketball Tournament,2019-09-01,<1
NCAA Men's Division I Basketball Tournament,2019-09-08,<1
NCAA Men's Division I Basketball Tournament,2019-09-15,<1
NCAA Men's Division I Basketball Tournament,2019-09-22,<1
NCAA Men's Division I Basketball Tournament,2019-09-29,<1
NCAA Men's Division I Basketball Tournament,2019-10-06,<1
NCAA Men's Division I Basketball Tournament,2019-10-13,<1
NCAA Men's Division I Basketball Tournament,2019-10-20,<1
NCAA Men's Division I Basketball Tournament,2019-10-27,<1
NCAA Men's Division I Basketball Tournament,2019-11-03,1
NCAA Men's Division I Basketball Tournament,2019-11-10,1
NCAA Men's Division I Basketball Tournament,2019-11-17,1
NCAA Men's Division I Basketball Tournament,2019-11-24,1
NCAA Men's Division I Basketball Tournament,2019-12-01,1
NCAA Men's Division I Basketball Tournament,2019-12-08,1
NCAA Men's Division I Basketball Tournament,2019-12-15,1
NCAA Men's Division I Basketball Tournament,2019-12-22,1
NCAA Men's Division I Basketball Tournament,2019-12-29,1
Notre Dame fire,2019-01-06,<1
Notre Dame fire,2019-01-13,<1
Notre Dame fire,2019-01-20,<1
Notre Dame fire,2019-01-27,<1
Notre Dame fire,2019-02-03,<1
Notre Dame fire,2019-02-10,<1
Notre Dame fire,2019-02-17,<1
Notre Dame fire,2019-02-24,<1
Notre Dame fire,2019-03-03,<1
Notre Dame fire,2019-03-10,<1
Notre Dame fire,2019-03-17,<1
Notre Dame fire,2019-03-24,<1
Notre Dame fire,2019-03-31,<1
Notre Dame fire,2019-04-07,<1
Notre Dame fire,2019-04-14,100
Notre Dame fire,2019-04-21,4
Notre Dame fire,2019-04-28,1
Notre Dame fire,2019-05-05,1
Notre Dame fire,2019-05-12,1
Notre Dame fire,2019-05-19,<1
Notre Dame fire,2019-05-26,<1
Notre Dame fire,2019-06-02,<1
Notre Dame fire,2019-06-09,<1
Notre Dame fire,2019-06-16,<1
Notre Dame fire,2019-06-23,<1
Notre Dame fire,2019-06-30,<1
Notre Dame fire,2019-07-07,<1
Notre Dame fire,2019-07-14,<1
Notre Dame fire,2019-07-21,<1
Notre Dame fire,2019-07-28,<1
Notre Dame fire,2019-08-04,<1
Notre Dame fire,2019-08-11,<1
Notre Dame fire,2019-08-18,<1
Notre Dame fire,2019-08-25,<1
Notre Dame fire,2019-09-01,<1
Notre Dame fire,2019-09-08,<1
Notre Dame fire,2019-09-15,<1
Notre Dame fire,2019-09-22,<1
Notre Dame fire,2019-09-29,<1
Notre Dame fire,2019-10-06,<1
Notre Dame fire,2019-10-13,<1
Notre Dame fire,2019-10-20,<1
Notre Dame fire,2019-10-27,<1
Notre Dame fire,2019-11-03,<1
Notre Dame fire,2019-11-10,<1
Notre Dame fire,2019-11-17,<1
Notre Dame fire,2019-11-24,<1
Notre Dame fire,2019-12-01,<1
Notre Dame fire,2019-12-08,<1
Notre Dame fire,2019-12-15,<1
Notre Dame fire,2019-12-22,<1
Notre Dame fire,2019-12-29,<1
Stanley Cup,2019-01-06,2
Stanley Cup,2019-01-13,2
Stanley Cup,2019-01-20,3
Stanley Cup,2019-01-27,2
Stanley Cup,2019-02-03,4
Stanley Cup,2019-02-10,3
Stanley Cup,2019-02-17,3
Stanley Cup,2019-02-24,3
Stanley Cup,2019-03-03,3
Stanley Cup,2019-03-10,3
Stanley Cup,2019-03-17,3
Stanley Cup,2019-03-24,3
Stanley Cup,2019-03-31,5
Stanley Cup,2019-04-07,17
Stanley Cup,2019-04-14,21
Stanley Cup,2019-04-21,29
Stanley Cup,2019-04-28,18
Stanley Cup,2019-05-05,23
Stanley Cup,2019-05-12,21
Stanley Cup,2019-05-19,27
Stanley Cup,2019-05-26,45
Stanley Cup,2019-06-02,44
Stanley Cup,2019-06-09,100
Stanley Cup,2019-06-16,10
Stanley Cup,2019-06-23,4
Stanley Cup,2019-06-30,3
Stanley Cup,2019-07-07,3
Stanley Cup,2019-07-14,3
Stanley Cup,2019-07-21,3
Stanley Cup,2019-07-28,2
Stanley Cup,2019-08-04,2
Stanley Cup,2019-08-11,2
Stanley Cup,2019-08-18,2
Stanley Cup,2019-08-25,2
Stanley Cup,2019-09-01,2
Stanley Cup,2019-09-08,2
Stanley Cup,2019-09-15,2
Stanley Cup,2019-09-22,2
Stanley Cup,2019-09-29,6
Stanley Cup,2019-10-06,4
Stanley Cup,2019-10-13,3
Stanley Cup,2019-10-20,3
Stanley Cup,2019-10-27,4
Stanley Cup,2019-11-03,3
Stanley Cup,2019-11-10,2
Stanley Cup,2019-11-17,3
Stanley Cup,2019-11-24,3
Stanley Cup,2019-12-01,3
Stanley Cup,2019-12-08,2
Stanley Cup,2019-12-15,2
Stanley Cup,2019-12-22,3
Stanley Cup,2019-12-29,3
Super Bowl LIII,2019-01-06,6
Super Bowl LIII,2019-01-13,8
Super Bowl LIII,2019-01-20,27
Super Bowl LIII,2019-01-27,28
Super Bowl LIII,2019-02-03,100
Super Bowl LIII,2019-02-10,4
Super Bowl LIII,2019-02-17,2
Super Bowl LIII,2019-02-24,2
Super Bowl LIII,2019-03-03,1
Super Bowl LIII,2019-03-10,1
Super Bowl LIII,2019-03-17,1
Super Bowl LIII,2019-03-24,1
Super Bowl LIII,2019-03-31,1
Super Bowl LIII,2019-04-07,1
Super Bowl LIII,2019-04-14,1
Super Bowl LIII,2019-04-21,1
Super Bowl LIII,2019-04-28,1
Super Bowl LIII,2019-05-05,1
Super Bowl LIII,2019-05-12,1
Super Bowl LIII,2019-05-19,1
Super Bowl LIII,2019-05-26,1
Super Bowl LIII,2019-06-02,1
Super Bowl LIII,2019-06-09,1
Super Bowl LIII,2019-06-16,1
Super Bowl LIII,2019-06-23,<1
Super Bowl LIII,2019-06-30,<1
Super Bowl LIII,2019-07-07,<1
Super Bowl LIII,2019-07-14,1
Super Bowl LIII,2019-07-21,1
Super Bowl LIII,2019-07-28,1
Super Bowl LIII,2019-08-04,1
Super Bowl LIII,2019-08-11,1
Super Bowl LIII,2019-08-18,1
Super Bowl LIII,2019-08-25,1
Super Bowl LIII,2019-09-01,1
Super Bowl LIII,2019-09-08,1
Super Bowl LIII,2019-09-15,1
Super Bowl LIII,2019-09-22,2
Super Bowl LIII,2019-09-29,1
Super Bowl LIII,2019-10-06,1
Super Bowl LIII,2019-10-13,1
Super Bowl LIII,2019-10-20,1
Super Bowl LIII,2019-10-27,1
Super Bowl LIII,2019-11-03,1
Super Bowl LIII,2019-11-10,1
Super Bowl LIII,2019-11-17,1
Super Bowl LIII,2019-11-24,1
Super Bowl LIII,2019-12-01,1
Super Bowl LIII,2019-12-08,1
Super Bowl LIII,2019-12-15,1
Super Bowl LIII,2019-12-22,1
Super Bowl LIII,2019-12-29,1
The NBA Finals,2019-01-06,1
The NBA Finals,2019-01-13,1
The NBA Finals,2019-01-20,1
The NBA Finals,2019-01-27,1
The NBA Finals,2019-02-03,2
The NBA Finals,2019-02-10,1
The NBA Finals,2019-02-17,1
The NBA Finals,2019-02-24,1
The NBA Finals,2019-03-03,1
The NBA Finals,2019-03-10,1
The NBA Finals,2019-03-17,1
The NBA Finals,2019-03-24,1
The NBA Finals,2019-03-31,1
The NBA Finals,2019-04-07,2
The NBA Finals,2019-04-14,2
The NBA Finals,2019-04-21,2
The NBA Finals,2019-04-28,2
The NBA Finals,2019-05-05,4
The NBA Finals,2019-05-12,5
The NBA Finals,2019-05-19,9
The NBA Finals,2019-05-26,47
The NBA Finals,2019-06-02,76
The NBA Finals,2019-06-09,100
The NBA Finals,2019-06-16,5
The NBA Finals,2019-06-23,2
The NBA Finals,2019-06-30,3
The NBA Finals,2019-07-07,2
The NBA Finals,2019-07-14,1
The NBA Finals,2019-07-21,1
The NBA Finals,2019-07-28,1
The NBA Finals,2019-08-04,1
The NBA Finals,2019-08-11,1
The NBA Finals,2019-08-18,1
The NBA Finals,2019-08-25,1
The NBA Finals,2019-09-01,1
The NBA Finals,2019-09-08,1
The NBA Finals,2019-09-15,1
The NBA Finals,2019-09-22,1
The NBA Finals,2019-09-29,1
The NBA Finals,2019-10-06,1
The NBA Finals,2019-10-13,1
The NBA Finals,2019-10-20,1
The NBA Finals,2019-10-27,1
The NBA Finals,2019-11-03,1
The NBA Finals,2019-11-10,1
The NBA Finals,2019-11-17,1
The NBA Finals,2019-11-24,1
The NBA Finals,2019-12-01,1
The NBA Finals,2019-12-08,1
The NBA Finals,2019-12-15,1
The NBA Finals,2019-12-22,1
The NBA Finals,2019-12-29,1
Tiger Woods Masters,2019-01-06,<1
Tiger Woods Masters,2019-01-13,<1
Tiger Woods Masters,2019-01-20,<1
Tiger Woods Masters,2019-01-27,<1
Tiger Woods Masters,2019-02-03,<1
Tiger Woods Masters,2019-02-10,<1
Tiger Woods Masters,2019-02-17,<1
Tiger Woods Masters,2019-02-24,<1
Tiger Woods Masters,2019-03-03,<1
Tiger Woods Masters,2019-03-10,<1
Tiger Woods Masters,2019-03-17,<1
Tiger Woods Masters,2019-03-24,<1
Tiger Woods Masters,2019-03-31,1
Tiger Woods Masters,2019-04-07,42
Tiger Woods Masters,2019-04-14,100
Tiger Woods Masters,2019-04-21,3
Tiger Woods Masters,2019-04-28,1
Tiger Woods Masters,2019-05-05,1
Tiger Woods Masters,2019-05-12,1
Tiger Woods Masters,2019-05-19,1
Tiger Woods Masters,2019-05-26,1
Tiger Woods Masters,2019-06-02,1
Tiger Woods Masters,2019-06-09,1
Tiger Woods Masters,2019-06-16,1
Tiger Woods Masters,2019-06-23,<1
Tiger Woods Masters,2019-06-30,<1
Tiger Woods Masters,2019-07-07,<1
Tiger Woods Masters,2019-07-14,1
Tiger Woods Masters,2019-07-21,<1
Tiger Woods Masters,2019-07-28,<1
Tiger Woods Masters,2019-08-04,<1
Tiger Woods Masters,2019-08-11,<1
Tiger Woods Masters,2019-08-18,<1
Tiger Woods Masters,2019-08-25,<1
Tiger Woods Masters,2019-09-01,<1
Tiger Woods Masters,2019-09-08,<1
Tiger Woods Masters,2019-09-15,<1
Tiger Woods Masters,2019-09-22,<1
Tiger Woods Masters,2019-09-29,<1
Tiger Woods Masters,2019-10-06,<1
Tiger Woods Masters,2019-10-13,<1
Tiger Woods Masters,2019-10-20,<1
Tiger Woods Masters,2019-10-27,<1
Tiger Woods Masters,2019-11-03,<1
Tiger Woods Masters,2019-11-10,<1
Tiger Woods Masters,2019-11-17,<1
Tiger Woods Masters,2019-11-24,<1
Tiger Woods Masters,2019-12-01,<1
Tiger Woods Masters,2019-12-08,<1
Tiger Woods Masters,2019-12-15,<1
Tiger Woods Masters,2019-12-22,<1
Tiger Woods Masters,2019-12-29,<1
Trump impeachment,2019-01-06,1
Trump impeachment,2019-01-13,1
Trump impeachment,2019-01-20,1
Trump impeachment,2019-01-27,<1
Trump impeachment,2019-02-03,<1
Trump impeachment,2019-02-10,<1
Trump impeachment,2019-02-17,<1
Trump impeachment,2019-02-24,1
Trump impeachment,2019-03-03,<1
Trump impeachment,2019-03-10,<1
Trump impeachment,2019-03-17,<1
Trump impeachment,2019-03-24,<1
Trump impeachment,2019-03-31,<1
Trump impeachment,2019-04-07,<1
Trump impeachment,2019-04-14,1
Trump impeachment,2019-04-21,1
Trump impeachment,2019-04-28,<1
Trump impeachment,2019-05-05,<1
Trump impeachment,2019-05-12,<1
Trump impeachment,2019-05-19,1
Trump impeachment,2019-05-26,1
Trump impeachment,2019-06-02,1
Trump impeachment,2019-06-09,<1
Trump impeachment,2019-06-16,<1
Trump impeachment,2019-06-23,<1
Trump impeachment,2019-06-30,<1
Trump impeachment,2019-07-07,<1
Trump impeachment,2019-07-14,1
Trump impeachment,2019-07-21,1
Trump impeachment,2019-07-28,1
Trump impeachment,2019-08-04,<1
Trump impeachment,2019-08-11,<1
Trump impeachment,2019-08-18,<1
Trump impeachment,2019-08-25,<1
Trump impeachment,2019-09-01,<1
Trump impeachment,2019-09-08,1
Trump impeachment,2019-09-15,1
Trump impeachment,2019-09-22,20
Trump impeachment,2019-09-29,12
Trump impeachment,2019-10-06,7
Trump impeachment,2019-10-13,5
Trump impeachment,2019-10-20,5
Trump impeachment,2019-10-27,7
Trump impeachment,2019-11-03,5
Trump impeachment,2019-11-10,12
Trump impeachment,2019-11-17,12
Trump impeachment,2019-11-24,5
Trump impeachment,2019-12-01,7
Trump impeachment,2019-12-08,15
Trump impeachment,2019-12-15,100
Trump impeachment,2019-12-22,9
Trump impeachment,2019-12-29,5
vaping,2019-01-06,14
vaping,2019-01-13,14
vaping,2019-01-20,15
vaping,2019-01-27,14
vaping,2019-02-03,15
vaping,2019-02-10,15
vaping,2019-02-17,14
vaping,2019-02-24,16
vaping,2019-03-03,16
vaping,2019-03-10,15
vaping,2019-03-17,15
vaping,2019-03-24,15
vaping,2019-03-31,16
vaping,2019-04-07,15
vaping,2019-04-14,13
vaping,2019-04-21,15
vaping,2019-04-28,15
vaping,2019-05-05,14
vaping,2019-05-12,14
vaping,2019-05-19,13
vaping,2019-05-26,13
vaping,2019-06-02,12
vaping,2019-06-09,12
vaping,2019-06-16,13
vaping,2019-06-23,13
vaping,2019-06-30,12
vaping,2019-07-07,11
vaping,2019-07-14,12
vaping,2019-07-21,14
vaping,2019-07-28,14
vaping,2019-08-04,15
vaping,2019-08-11,20
vaping,2019-08-18,34
vaping,2019-08-25,40
vaping,2019-09-01,63
vaping,2019-09-08,100
vaping,2019-09-15,59
vaping,2019-09-22,59
vaping,2019-09-29,44
vaping,2019-10-06,36
vaping,2019-10-13,29
vaping,2019-10-20,26
vaping,2019-10-27,23
vaping,2019-11-03,25
vaping,2019-11-10,29
vaping,2019-11-17,27
vaping,2019-11-24,18
vaping,2019-12-01,20
vaping,2019-12-08,19
vaping,2019-12-15,18
vaping,2019-12-22,14
vaping,2019-12-29,17
World Series,2019-01-06,1
World Series,2019-01-13,1
World Series,2019-01-20,1
World Series,2019-01-27,1
World Series,2019-02-03,1
World Series,2019-02-10,1
World Series,2019-02-17,1
World Series,2019-02-24,1
World Series,2019-03-03,1
World Series,2019-03-10,1
World Series,2019-03-17,1
World Series,2019-03-24,2
World Series,2019-03-31,1
World Series,2019-04-07,1
World Series,2019-04-14,1
World Series,2019-04-21,1
World Series,2019-04-28,1
World Series,2019-05-05,1
World Series,2019-05-12,1
World Series,2019-05-19,2
World Series,2019-05-26,4
World Series,2019-06-02,3
World Series,2019-06-09,3
World Series,2019-06-16,3
World Series,2019-06-23,2
World Series,2019-06-30,2
World Series,2019-07-07,2
World Series,2019-07-14,2
World Series,2019-07-21,2
World Series,2019-07-28,2
World Series,2019-08-04,2
World Series,2019-08-11,2
World Series,2019-08-18,2
World Series,2019-08-25,2
World Series,2019-09-01,1
World Series,2019-09-08,1
World Series,2019-09-15,1
World Series,2019-09-22,2
World Series,2019-09-29,3
World Series,2019-10-06,5
World Series,2019-10-13,10
World Series,2019-10-20,53
World Series,2019-10-27,100
World Series,2019-11-03,3
World Series,2019-11-10,1
World Series,2019-11-17,1
World Series,2019-11-24,1
World Series,2019-12-01,1
World Series,2019-12-08,1
World Series,2019-12-15,1
World Series,2019-12-22,1
World Series,2019-12-29,1
