geoName,interest,date
geoName,interest,date
West Palm Beach-Ft. Pierce FL,3,2019-03-04
Wheeling WV-Steubenville OH,24,2019-03-04
Wichita-Hutchinson KS,5,2019-03-04
Wilkes Barre-Scranton PA,9,2019-03-04
Yakima-Pasco-Richland-Kennewick WA,9,2019-03-04
Youngstown OH,10,2019-03-04
Yuma AZ-El Centro CA,19,2019-03-04
Abilene-Sweetwater TX,40,2019-03-11
Albany-Schenectady-Troy NY,7,2019-03-11
Albuquerque-Santa Fe NM,13,2019-03-11
Amarillo TX,22,2019-03-11
Anchorage AK,20,2019-03-11
Atlanta GA,4,2019-03-11
Augusta GA,28,2019-03-11
Austin TX,7,2019-03-11
Baltimore MD,8,2019-03-11
Bangor ME,28,2019-03-11
Baton Rouge LA,10,2019-03-11
Beaumont-Port Arthur TX,26,2019-03-11
"Billings, MT",37,2019-03-11
Birmingham AL,5,2019-03-11
Boise ID,10,2019-03-11
Boston MA-Manchester NH,5,2019-03-11
Bowling Green KY,43,2019-03-11
Buffalo NY,12,2019-03-11
Burlington VT-Plattsburgh NY,26,2019-03-11
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,10,2019-03-11
Champaign & Springfield-Decatur IL,10,2019-03-11
Charleston-Huntington WV,11,2019-03-11
Charlotte NC,2,2019-03-11
Charlottesville VA,35,2019-03-11
Chattanooga TN,10,2019-03-11
Chicago IL,6,2019-03-11
Cincinnati OH,4,2019-03-11
Cleveland-Akron (Canton) OH,8,2019-03-11
Colorado Springs-Pueblo CO,16,2019-03-11
Columbia SC,8,2019-03-11
Columbia-Jefferson City MO,20,2019-03-11
Columbus OH,12,2019-03-11
Columbus-Tupelo-West Point MS,35,2019-03-11
Dallas-Ft. Worth TX,5,2019-03-11
Davenport IA-Rock Island-Moline IL,18,2019-03-11
Dayton OH,12,2019-03-11
Denver CO,7,2019-03-11
Des Moines-Ames IA,17,2019-03-11
Detroit MI,8,2019-03-11
Elmira NY,45,2019-03-11
Evansville IN,14,2019-03-11
Fargo-Valley City ND,23,2019-03-11
Flint-Saginaw-Bay City MI,13,2019-03-11
Fresno-Visalia CA,5,2019-03-11
Ft. Myers-Naples FL,6,2019-03-11
Ft. Smith-Fayetteville-Springdale-Rogers AR,10,2019-03-11
Grand Rapids-Kalamazoo-Battle Creek MI,8,2019-03-11
Great Falls MT,73,2019-03-11
Green Bay-Appleton WI,12,2019-03-11
Greensboro-High Point-Winston Salem NC,6,2019-03-11
Greenville-New Bern-Washington NC,11,2019-03-11
Greenville-Spartanburg SC-Asheville NC-Anderson SC,6,2019-03-11
Harrisburg-Lancaster-Lebanon-York PA,7,2019-03-11
Hartford & New Haven CT,5,2019-03-11
Honolulu HI,6,2019-03-11
Houston TX,4,2019-03-11
Idaho Falls-Pocatello ID,25,2019-03-11
Indianapolis IN,6,2019-03-11
Jackson MS,11,2019-03-11
Jacksonville FL,6,2019-03-11
Johnstown-Altoona PA,11,2019-03-11
Jonesboro AR,51,2019-03-11
Kansas City MO,5,2019-03-11
Knoxville TN,17,2019-03-11
La Crosse-Eau Claire WI,17,2019-03-11
Lansing MI,12,2019-03-11
Laredo TX,44,2019-03-11
Las Vegas NV,3,2019-03-11
Lexington KY,8,2019-03-11
Lima OH,70,2019-03-11
Lincoln & Hastings-Kearney NE,17,2019-03-11
Little Rock-Pine Bluff AR,13,2019-03-11
Los Angeles CA,5,2019-03-11
Louisville KY,5,2019-03-11
Macon GA,24,2019-03-11
Madison WI,8,2019-03-11
Memphis TN,12,2019-03-11
Miami-Ft. Lauderdale FL,4,2019-03-11
Milwaukee WI,9,2019-03-11
Minneapolis-St. Paul MN,7,2019-03-11
Mobile AL-Pensacola (Ft. Walton Beach) FL,9,2019-03-11
Monterey-Salinas CA,12,2019-03-11
Montgomery (Selma) AL,18,2019-03-11
Nashville TN,4,2019-03-11
New Orleans LA,9,2019-03-11
New York NY,5,2019-03-11
Norfolk-Portsmouth-Newport News VA,7,2019-03-11
Oklahoma City OK,5,2019-03-11
Omaha NE,6,2019-03-11
Orlando-Daytona Beach-Melbourne FL,3,2019-03-11
Ottumwa IA-Kirksville MO,100,2019-03-11
Palm Springs CA,19,2019-03-11
Panama City FL,24,2019-03-11
Peoria-Bloomington IL,13,2019-03-11
Philadelphia PA,6,2019-03-11
Phoenix AZ,3,2019-03-11
Pittsburgh PA,8,2019-03-11
Portland OR,6,2019-03-11
Portland-Auburn ME,11,2019-03-11
Providence RI-New Bedford MA,8,2019-03-11
Raleigh-Durham (Fayetteville) NC,4,2019-03-11
Rapid City SD,40,2019-03-11
Richmond-Petersburg VA,7,2019-03-11
Rochester NY,8,2019-03-11
Rockford IL,40,2019-03-11
Sacramento-Stockton-Modesto CA,4,2019-03-11
Salt Lake City UT,7,2019-03-11
San Antonio TX,3,2019-03-11
San Diego CA,6,2019-03-11
San Francisco-Oakland-San Jose CA,6,2019-03-11
Savannah GA,13,2019-03-11
Seattle-Tacoma WA,8,2019-03-11
Shreveport LA,24,2019-03-11
Sioux City IA,26,2019-03-11
Spokane WA,8,2019-03-11
Springfield-Holyoke MA,18,2019-03-11
St. Louis MO,6,2019-03-11
Syracuse NY,14,2019-03-11
Tallahassee FL-Thomasville GA,12,2019-03-11
Tampa-St. Petersburg (Sarasota) FL,6,2019-03-11
Terre Haute IN,32,2019-03-11
Toledo OH,21,2019-03-11
Tucson (Sierra Vista) AZ,7,2019-03-11
Washington DC (Hagerstown MD),9,2019-03-11
Wausau-Rhinelander WI,22,2019-03-11
West Palm Beach-Ft. Pierce FL,8,2019-03-11
Wilkes Barre-Scranton PA,14,2019-03-11
Wilmington NC,35,2019-03-11
Youngstown OH,31,2019-03-11
Yuma AZ-El Centro CA,28,2019-03-11
Abilene-Sweetwater TX,28,2019-03-18
Albany GA,15,2019-03-18
Albany-Schenectady-Troy NY,25,2019-03-18
Albuquerque-Santa Fe NM,26,2019-03-18
Amarillo TX,8,2019-03-18
Anchorage AK,22,2019-03-18
Atlanta GA,18,2019-03-18
Augusta GA,10,2019-03-18
Austin TX,28,2019-03-18
Bakersfield CA,17,2019-03-18
Baltimore MD,27,2019-03-18
Bangor ME,35,2019-03-18
Baton Rouge LA,7,2019-03-18
Beaumont-Port Arthur TX,16,2019-03-18
Bend OR,37,2019-03-18
"Billings, MT",18,2019-03-18
Biloxi-Gulfport MS,17,2019-03-18
Binghamton NY,31,2019-03-18
Birmingham AL,23,2019-03-18
Bluefield-Beckley-Oak Hill WV,29,2019-03-18
Boise ID,26,2019-03-18
Boston MA-Manchester NH,31,2019-03-18
Bowling Green KY,26,2019-03-18
Buffalo NY,27,2019-03-18
Burlington VT-Plattsburgh NY,42,2019-03-18
Butte-Bozeman MT,35,2019-03-18
Casper-Riverton WY,23,2019-03-18
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,24,2019-03-18
Champaign & Springfield-Decatur IL,27,2019-03-18
Charleston SC,27,2019-03-18
Charleston-Huntington WV,18,2019-03-18
Charlotte NC,21,2019-03-18
Charlottesville VA,26,2019-03-18
Chattanooga TN,23,2019-03-18
Cheyenne WY-Scottsbluff NE,30,2019-03-18
Chicago IL,26,2019-03-18
Chico-Redding CA,11,2019-03-18
Cincinnati OH,22,2019-03-18
Clarksburg-Weston WV,28,2019-03-18
Cleveland-Akron (Canton) OH,20,2019-03-18
Colorado Springs-Pueblo CO,29,2019-03-18
Columbia SC,16,2019-03-18
Columbia-Jefferson City MO,23,2019-03-18
Columbus GA,22,2019-03-18
Columbus OH,23,2019-03-18
Columbus-Tupelo-West Point MS,9,2019-03-18
Corpus Christi TX,21,2019-03-18
Dallas-Ft. Worth TX,20,2019-03-18
Davenport IA-Rock Island-Moline IL,19,2019-03-18
Dayton OH,21,2019-03-18
Denver CO,25,2019-03-18
Des Moines-Ames IA,29,2019-03-18
Detroit MI,27,2019-03-18
Dothan AL,27,2019-03-18
Duluth MN-Superior WI,35,2019-03-18
El Paso TX,14,2019-03-18
Elmira NY,27,2019-03-18
Erie PA,33,2019-03-18
Eugene OR,36,2019-03-18
Eureka CA,24,2019-03-18
Evansville IN,12,2019-03-18
Fairbanks AK,48,2019-03-18
Fargo-Valley City ND,25,2019-03-18
Flint-Saginaw-Bay City MI,14,2019-03-18
Florence-Myrtle Beach SC,16,2019-03-18
Fresno-Visalia CA,12,2019-03-18
Ft. Myers-Naples FL,26,2019-03-18
Ft. Smith-Fayetteville-Springdale-Rogers AR,20,2019-03-18
Ft. Wayne IN,21,2019-03-18
Gainesville FL,21,2019-03-18
Grand Junction-Montrose CO,44,2019-03-18
Grand Rapids-Kalamazoo-Battle Creek MI,24,2019-03-18
Great Falls MT,22,2019-03-18
Green Bay-Appleton WI,21,2019-03-18
Greensboro-High Point-Winston Salem NC,15,2019-03-18
Greenville-New Bern-Washington NC,17,2019-03-18
Greenville-Spartanburg SC-Asheville NC-Anderson SC,16,2019-03-18
Harlingen-Weslaco-Brownsville-McAllen TX,7,2019-03-18
Harrisburg-Lancaster-Lebanon-York PA,24,2019-03-18
Harrisonburg VA,31,2019-03-18
Hartford & New Haven CT,26,2019-03-18
Hattiesburg-Laurel MS,22,2019-03-18
Helena MT,35,2019-03-18
Honolulu HI,21,2019-03-18
Houston TX,18,2019-03-18
Huntsville-Decatur (Florence) AL,20,2019-03-18
Idaho Falls-Pocatello ID,27,2019-03-18
Indianapolis IN,21,2019-03-18
Jackson MS,14,2019-03-18
Jackson TN,15,2019-03-18
Jacksonville FL,20,2019-03-18
Johnstown-Altoona PA,22,2019-03-18
Jonesboro AR,28,2019-03-18
Joplin MO-Pittsburg KS,19,2019-03-18
Juneau AK,100,2019-03-18
Kansas City MO,26,2019-03-18
Knoxville TN,22,2019-03-18
La Crosse-Eau Claire WI,32,2019-03-18
Lafayette IN,24,2019-03-18
Lafayette LA,18,2019-03-18
Lake Charles LA,50,2019-03-18
Lansing MI,14,2019-03-18
Laredo TX,12,2019-03-18
Las Vegas NV,18,2019-03-18
Lexington KY,13,2019-03-18
Lima OH,44,2019-03-18
Lincoln & Hastings-Kearney NE,17,2019-03-18
Little Rock-Pine Bluff AR,19,2019-03-18
Los Angeles CA,22,2019-03-18
Louisville KY,25,2019-03-18
Lubbock TX,12,2019-03-18
Macon GA,9,2019-03-18
Madison WI,32,2019-03-18
Mankato MN,19,2019-03-18
Marquette MI,37,2019-03-18
Medford-Klamath Falls OR,35,2019-03-18
Memphis TN,22,2019-03-18
Meridian MS,59,2019-03-18
Miami-Ft. Lauderdale FL,17,2019-03-18
Milwaukee WI,22,2019-03-18
Minneapolis-St. Paul MN,29,2019-03-18
Minot-Bismarck-Dickinson(Williston) ND,15,2019-03-18
Missoula MT,19,2019-03-18
Mobile AL-Pensacola (Ft. Walton Beach) FL,23,2019-03-18
Monroe LA-El Dorado AR,24,2019-03-18
Monterey-Salinas CA,18,2019-03-18
Montgomery (Selma) AL,23,2019-03-18
Nashville TN,24,2019-03-18
New Orleans LA,20,2019-03-18
New York NY,28,2019-03-18
Norfolk-Portsmouth-Newport News VA,18,2019-03-18
Odessa-Midland TX,6,2019-03-18
Oklahoma City OK,20,2019-03-18
Omaha NE,23,2019-03-18
Orlando-Daytona Beach-Melbourne FL,23,2019-03-18
Ottumwa IA-Kirksville MO,29,2019-03-18
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,21,2019-03-18
Palm Springs CA,30,2019-03-18
Panama City FL,16,2019-03-18
Peoria-Bloomington IL,12,2019-03-18
Philadelphia PA,31,2019-03-18
Phoenix AZ,24,2019-03-18
Pittsburgh PA,26,2019-03-18
Portland OR,29,2019-03-18
Portland-Auburn ME,25,2019-03-18
Providence RI-New Bedford MA,26,2019-03-18
Quincy IL-Hannibal MO-Keokuk IA,14,2019-03-18
Raleigh-Durham (Fayetteville) NC,24,2019-03-18
Rapid City SD,31,2019-03-18
Reno NV,28,2019-03-18
Richmond-Petersburg VA,28,2019-03-18
Roanoke-Lynchburg VA,24,2019-03-18
Rochester MN-Mason City IA-Austin MN,18,2019-03-18
Rochester NY,23,2019-03-18
Rockford IL,17,2019-03-18
Sacramento-Stockton-Modesto CA,21,2019-03-18
Salisbury MD,17,2019-03-18
Salt Lake City UT,16,2019-03-18
San Angelo TX,16,2019-03-18
San Antonio TX,19,2019-03-18
San Diego CA,27,2019-03-18
San Francisco-Oakland-San Jose CA,29,2019-03-18
Santa Barbara-Santa Maria-San Luis Obispo CA,36,2019-03-18
Savannah GA,17,2019-03-18
Seattle-Tacoma WA,35,2019-03-18
Sherman TX-Ada OK,12,2019-03-18
Shreveport LA,15,2019-03-18
Sioux City IA,16,2019-03-18
Sioux Falls(Mitchell) SD,20,2019-03-18
South Bend-Elkhart IN,15,2019-03-18
Spokane WA,32,2019-03-18
Springfield MO,28,2019-03-18
Springfield-Holyoke MA,22,2019-03-18
St. Joseph MO,56,2019-03-18
St. Louis MO,21,2019-03-18
Syracuse NY,27,2019-03-18
Tallahassee FL-Thomasville GA,25,2019-03-18
Tampa-St. Petersburg (Sarasota) FL,24,2019-03-18
Terre Haute IN,10,2019-03-18
Toledo OH,19,2019-03-18
Topeka KS,22,2019-03-18
Traverse City-Cadillac MI,33,2019-03-18
Tri-Cities TN-VA,21,2019-03-18
Tucson (Sierra Vista) AZ,28,2019-03-18
Tulsa OK,15,2019-03-18
Twin Falls ID,29,2019-03-18
Tyler-Longview(Lufkin & Nacogdoches) TX,14,2019-03-18
Utica NY,37,2019-03-18
Victoria TX,40,2019-03-18
Waco-Temple-Bryan TX,20,2019-03-18
Washington DC (Hagerstown MD),31,2019-03-18
Watertown NY,18,2019-03-18
Wausau-Rhinelander WI,29,2019-03-18
West Palm Beach-Ft. Pierce FL,29,2019-03-18
Wheeling WV-Steubenville OH,29,2019-03-18
Wichita Falls TX & Lawton OK,18,2019-03-18
Wichita-Hutchinson KS,14,2019-03-18
Wilkes Barre-Scranton PA,23,2019-03-18
Wilmington NC,31,2019-03-18
Yakima-Pasco-Richland-Kennewick WA,17,2019-03-18
Youngstown OH,19,2019-03-18
Yuma AZ-El Centro CA,21,2019-03-18
Zanesville OH,40,2019-03-18
Abilene-Sweetwater TX,42,2019-03-25
Albany GA,24,2019-03-25
Albany-Schenectady-Troy NY,28,2019-03-25
Albuquerque-Santa Fe NM,11,2019-03-25
Alexandria LA,22,2019-03-25
Amarillo TX,12,2019-03-25
Anchorage AK,21,2019-03-25
Atlanta GA,14,2019-03-25
Augusta GA,6,2019-03-25
Austin TX,18,2019-03-25
Bakersfield CA,12,2019-03-25
Baltimore MD,17,2019-03-25
Bangor ME,14,2019-03-25
Baton Rouge LA,10,2019-03-25
Beaumont-Port Arthur TX,19,2019-03-25
Bend OR,34,2019-03-25
"Billings, MT",36,2019-03-25
Biloxi-Gulfport MS,21,2019-03-25
Binghamton NY,14,2019-03-25
Birmingham AL,15,2019-03-25
Bluefield-Beckley-Oak Hill WV,16,2019-03-25
Boise ID,28,2019-03-25
Boston MA-Manchester NH,23,2019-03-25
Bowling Green KY,25,2019-03-25
Buffalo NY,26,2019-03-25
Burlington VT-Plattsburgh NY,28,2019-03-25
Butte-Bozeman MT,40,2019-03-25
Casper-Riverton WY,30,2019-03-25
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,29,2019-03-25
Champaign & Springfield-Decatur IL,17,2019-03-25
Charleston SC,13,2019-03-25
Charleston-Huntington WV,10,2019-03-25
Charlotte NC,15,2019-03-25
Charlottesville VA,26,2019-03-25
Chattanooga TN,19,2019-03-25
Chicago IL,13,2019-03-25
Chico-Redding CA,19,2019-03-25
Cincinnati OH,16,2019-03-25
Clarksburg-Weston WV,45,2019-03-25
Cleveland-Akron (Canton) OH,18,2019-03-25
Colorado Springs-Pueblo CO,16,2019-03-25
Columbia SC,16,2019-03-25
Columbia-Jefferson City MO,27,2019-03-25
Columbus GA,13,2019-03-25
Columbus OH,18,2019-03-25
Columbus-Tupelo-West Point MS,15,2019-03-25
Corpus Christi TX,13,2019-03-25
Dallas-Ft. Worth TX,14,2019-03-25
Davenport IA-Rock Island-Moline IL,15,2019-03-25
Dayton OH,18,2019-03-25
Denver CO,22,2019-03-25
Des Moines-Ames IA,17,2019-03-25
Detroit MI,18,2019-03-25
Duluth MN-Superior WI,25,2019-03-25
El Paso TX,7,2019-03-25
Elmira NY,35,2019-03-25
Erie PA,22,2019-03-25
Eugene OR,30,2019-03-25
Eureka CA,33,2019-03-25
Evansville IN,14,2019-03-25
Fairbanks AK,31,2019-03-25
Fargo-Valley City ND,15,2019-03-25
Flint-Saginaw-Bay City MI,14,2019-03-25
Florence-Myrtle Beach SC,14,2019-03-25
Fresno-Visalia CA,13,2019-03-25
Ft. Myers-Naples FL,14,2019-03-25
Ft. Smith-Fayetteville-Springdale-Rogers AR,9,2019-03-25
Ft. Wayne IN,17,2019-03-25
Gainesville FL,16,2019-03-25
Grand Junction-Montrose CO,31,2019-03-25
Grand Rapids-Kalamazoo-Battle Creek MI,18,2019-03-25
Great Falls MT,28,2019-03-25
Green Bay-Appleton WI,22,2019-03-25
Greensboro-High Point-Winston Salem NC,10,2019-03-25
Greenville-New Bern-Washington NC,14,2019-03-25
Greenville-Spartanburg SC-Asheville NC-Anderson SC,15,2019-03-25
Greenwood-Greenville MS,36,2019-03-25
Harlingen-Weslaco-Brownsville-McAllen TX,4,2019-03-25
Harrisburg-Lancaster-Lebanon-York PA,14,2019-03-25
Harrisonburg VA,19,2019-03-25
Hartford & New Haven CT,19,2019-03-25
Hattiesburg-Laurel MS,34,2019-03-25
Helena MT,73,2019-03-25
Honolulu HI,15,2019-03-25
Houston TX,13,2019-03-25
Huntsville-Decatur (Florence) AL,13,2019-03-25
Idaho Falls-Pocatello ID,15,2019-03-25
Indianapolis IN,14,2019-03-25
Jackson MS,10,2019-03-25
Jackson TN,30,2019-03-25
Jacksonville FL,15,2019-03-25
Johnstown-Altoona PA,20,2019-03-25
Jonesboro AR,20,2019-03-25
Joplin MO-Pittsburg KS,33,2019-03-25
Juneau AK,58,2019-03-25
Kansas City MO,17,2019-03-25
Knoxville TN,16,2019-03-25
La Crosse-Eau Claire WI,20,2019-03-25
Lafayette IN,20,2019-03-25
Lafayette LA,12,2019-03-25
Lake Charles LA,31,2019-03-25
Lansing MI,21,2019-03-25
Laredo TX,46,2019-03-25
Las Vegas NV,20,2019-03-25
Lexington KY,12,2019-03-25
Lima OH,27,2019-03-25
Lincoln & Hastings-Kearney NE,13,2019-03-25
Little Rock-Pine Bluff AR,18,2019-03-25
Los Angeles CA,16,2019-03-25
Louisville KY,11,2019-03-25
Macon GA,9,2019-03-25
Madison WI,21,2019-03-25
Mankato MN,25,2019-03-25
Marquette MI,19,2019-03-25
Medford-Klamath Falls OR,27,2019-03-25
Memphis TN,9,2019-03-25
Miami-Ft. Lauderdale FL,11,2019-03-25
Milwaukee WI,15,2019-03-25
Minneapolis-St. Paul MN,17,2019-03-25
Minot-Bismarck-Dickinson(Williston) ND,19,2019-03-25
Missoula MT,31,2019-03-25
Mobile AL-Pensacola (Ft. Walton Beach) FL,16,2019-03-25
Monroe LA-El Dorado AR,25,2019-03-25
Monterey-Salinas CA,18,2019-03-25
Montgomery (Selma) AL,12,2019-03-25
Nashville TN,15,2019-03-25
New Orleans LA,12,2019-03-25
New York NY,17,2019-03-25
Norfolk-Portsmouth-Newport News VA,13,2019-03-25
Odessa-Midland TX,10,2019-03-25
Oklahoma City OK,20,2019-03-25
Omaha NE,16,2019-03-25
Orlando-Daytona Beach-Melbourne FL,12,2019-03-25
Ottumwa IA-Kirksville MO,36,2019-03-25
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,12,2019-03-25
Palm Springs CA,15,2019-03-25
Panama City FL,9,2019-03-25
Peoria-Bloomington IL,16,2019-03-25
Philadelphia PA,20,2019-03-25
Phoenix AZ,16,2019-03-25
Pittsburgh PA,18,2019-03-25
Portland OR,26,2019-03-25
Portland-Auburn ME,23,2019-03-25
Providence RI-New Bedford MA,17,2019-03-25
Quincy IL-Hannibal MO-Keokuk IA,17,2019-03-25
Raleigh-Durham (Fayetteville) NC,11,2019-03-25
Rapid City SD,32,2019-03-25
Reno NV,9,2019-03-25
Richmond-Petersburg VA,16,2019-03-25
Roanoke-Lynchburg VA,14,2019-03-25
Rochester MN-Mason City IA-Austin MN,21,2019-03-25
Rochester NY,17,2019-03-25
Rockford IL,17,2019-03-25
Sacramento-Stockton-Modesto CA,16,2019-03-25
Salisbury MD,27,2019-03-25
Salt Lake City UT,18,2019-03-25
San Antonio TX,16,2019-03-25
San Diego CA,16,2019-03-25
San Francisco-Oakland-San Jose CA,22,2019-03-25
Santa Barbara-Santa Maria-San Luis Obispo CA,28,2019-03-25
Savannah GA,31,2019-03-25
Seattle-Tacoma WA,22,2019-03-25
Sherman TX-Ada OK,20,2019-03-25
Shreveport LA,5,2019-03-25
Sioux City IA,10,2019-03-25
Sioux Falls(Mitchell) SD,14,2019-03-25
South Bend-Elkhart IN,16,2019-03-25
Spokane WA,29,2019-03-25
Springfield MO,18,2019-03-25
Springfield-Holyoke MA,18,2019-03-25
St. Louis MO,17,2019-03-25
Syracuse NY,20,2019-03-25
Tallahassee FL-Thomasville GA,19,2019-03-25
Tampa-St. Petersburg (Sarasota) FL,18,2019-03-25
Terre Haute IN,23,2019-03-25
Toledo OH,21,2019-03-25
Topeka KS,8,2019-03-25
Traverse City-Cadillac MI,8,2019-03-25
Tri-Cities TN-VA,11,2019-03-25
Tucson (Sierra Vista) AZ,27,2019-03-25
Tulsa OK,13,2019-03-25
Twin Falls ID,25,2019-03-25
Tyler-Longview(Lufkin & Nacogdoches) TX,10,2019-03-25
Utica NY,37,2019-03-25
Victoria TX,100,2019-03-25
Waco-Temple-Bryan TX,12,2019-03-25
Washington DC (Hagerstown MD),21,2019-03-25
Watertown NY,16,2019-03-25
Wausau-Rhinelander WI,13,2019-03-25
West Palm Beach-Ft. Pierce FL,17,2019-03-25
Wheeling WV-Steubenville OH,28,2019-03-25
Wichita Falls TX & Lawton OK,14,2019-03-25
Wichita-Hutchinson KS,20,2019-03-25
Wilkes Barre-Scranton PA,19,2019-03-25
Wilmington NC,11,2019-03-25
Yakima-Pasco-Richland-Kennewick WA,13,2019-03-25
Youngstown OH,10,2019-03-25
Yuma AZ-El Centro CA,23,2019-03-25
Albany-Schenectady-Troy NY,9,2019-04-01
Albuquerque-Santa Fe NM,8,2019-04-01
Amarillo TX,24,2019-04-01
Anchorage AK,15,2019-04-01
Atlanta GA,8,2019-04-01
Augusta GA,11,2019-04-01
Austin TX,10,2019-04-01
Baltimore MD,13,2019-04-01
Bangor ME,20,2019-04-01
Baton Rouge LA,8,2019-04-01
Bend OR,30,2019-04-01
Biloxi-Gulfport MS,20,2019-04-01
Binghamton NY,21,2019-04-01
Birmingham AL,5,2019-04-01
Bluefield-Beckley-Oak Hill WV,30,2019-04-01
Boise ID,10,2019-04-01
Boston MA-Manchester NH,14,2019-04-01
Buffalo NY,13,2019-04-01
Burlington VT-Plattsburgh NY,27,2019-04-01
Butte-Bozeman MT,32,2019-04-01
Casper-Riverton WY,55,2019-04-01
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,22,2019-04-01
Champaign & Springfield-Decatur IL,15,2019-04-01
Charleston SC,13,2019-04-01
Charleston-Huntington WV,17,2019-04-01
Charlotte NC,9,2019-04-01
Charlottesville VA,31,2019-04-01
Chattanooga TN,8,2019-04-01
Chicago IL,9,2019-04-01
Chico-Redding CA,14,2019-04-01
Cincinnati OH,11,2019-04-01
Cleveland-Akron (Canton) OH,8,2019-04-01
Colorado Springs-Pueblo CO,13,2019-04-01
Columbia SC,14,2019-04-01
Columbia-Jefferson City MO,20,2019-04-01
Columbus GA,12,2019-04-01
Columbus OH,6,2019-04-01
Columbus-Tupelo-West Point MS,22,2019-04-01
Corpus Christi TX,13,2019-04-01
Dallas-Ft. Worth TX,6,2019-04-01
Dayton OH,15,2019-04-01
Denver CO,15,2019-04-01
Des Moines-Ames IA,8,2019-04-01
Detroit MI,13,2019-04-01
Dothan AL,32,2019-04-01
El Paso TX,13,2019-04-01
Eugene OR,20,2019-04-01
Eureka CA,42,2019-04-01
Evansville IN,12,2019-04-01
Fargo-Valley City ND,33,2019-04-01
Flint-Saginaw-Bay City MI,9,2019-04-01
Florence-Myrtle Beach SC,17,2019-04-01
Fresno-Visalia CA,9,2019-04-01
Ft. Myers-Naples FL,16,2019-04-01
Ft. Smith-Fayetteville-Springdale-Rogers AR,16,2019-04-01
Ft. Wayne IN,18,2019-04-01
Gainesville FL,31,2019-04-01
Grand Rapids-Kalamazoo-Battle Creek MI,8,2019-04-01
Green Bay-Appleton WI,10,2019-04-01
Greensboro-High Point-Winston Salem NC,6,2019-04-01
Greenville-New Bern-Washington NC,8,2019-04-01
Greenville-Spartanburg SC-Asheville NC-Anderson SC,7,2019-04-01
Harlingen-Weslaco-Brownsville-McAllen TX,6,2019-04-01
Harrisburg-Lancaster-Lebanon-York PA,8,2019-04-01
Hartford & New Haven CT,10,2019-04-01
Hattiesburg-Laurel MS,33,2019-04-01
Helena MT,100,2019-04-01
Honolulu HI,14,2019-04-01
Houston TX,7,2019-04-01
Huntsville-Decatur (Florence) AL,14,2019-04-01
Indianapolis IN,12,2019-04-01
Jackson TN,37,2019-04-01
Jacksonville FL,8,2019-04-01
Joplin MO-Pittsburg KS,23,2019-04-01
Kansas City MO,12,2019-04-01
Knoxville TN,7,2019-04-01
La Crosse-Eau Claire WI,13,2019-04-01
Lafayette IN,74,2019-04-01
Lansing MI,20,2019-04-01
Laredo TX,30,2019-04-01
Las Vegas NV,7,2019-04-01
Lexington KY,8,2019-04-01
Lima OH,55,2019-04-01
Lincoln & Hastings-Kearney NE,10,2019-04-01
Little Rock-Pine Bluff AR,10,2019-04-01
Los Angeles CA,9,2019-04-01
Louisville KY,6,2019-04-01
Lubbock TX,15,2019-04-01
Madison WI,15,2019-04-01
Memphis TN,4,2019-04-01
Miami-Ft. Lauderdale FL,6,2019-04-01
Milwaukee WI,9,2019-04-01
Minneapolis-St. Paul MN,7,2019-04-01
Mobile AL-Pensacola (Ft. Walton Beach) FL,13,2019-04-01
Monterey-Salinas CA,18,2019-04-01
Montgomery (Selma) AL,13,2019-04-01
Nashville TN,6,2019-04-01
New Orleans LA,5,2019-04-01
New York NY,9,2019-04-01
Norfolk-Portsmouth-Newport News VA,4,2019-04-01
Oklahoma City OK,12,2019-04-01
Omaha NE,13,2019-04-01
Orlando-Daytona Beach-Melbourne FL,6,2019-04-01
Ottumwa IA-Kirksville MO,70,2019-04-01
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,15,2019-04-01
Palm Springs CA,30,2019-04-01
Peoria-Bloomington IL,19,2019-04-01
Philadelphia PA,9,2019-04-01
Phoenix AZ,8,2019-04-01
Pittsburgh PA,10,2019-04-01
Portland OR,12,2019-04-01
Portland-Auburn ME,14,2019-04-01
Providence RI-New Bedford MA,12,2019-04-01
Raleigh-Durham (Fayetteville) NC,5,2019-04-01
Rapid City SD,32,2019-04-01
Reno NV,9,2019-04-01
Richmond-Petersburg VA,10,2019-04-01
Roanoke-Lynchburg VA,8,2019-04-01
Rochester MN-Mason City IA-Austin MN,26,2019-04-01
Rochester NY,6,2019-04-01
Rockford IL,16,2019-04-01
Sacramento-Stockton-Modesto CA,12,2019-04-01
Salisbury MD,18,2019-04-01
Salt Lake City UT,8,2019-04-01
San Antonio TX,5,2019-04-01
San Diego CA,14,2019-04-01
San Francisco-Oakland-San Jose CA,13,2019-04-01
Santa Barbara-Santa Maria-San Luis Obispo CA,13,2019-04-01
Savannah GA,14,2019-04-01
Seattle-Tacoma WA,10,2019-04-01
Sherman TX-Ada OK,26,2019-04-01
Shreveport LA,9,2019-04-01
Sioux City IA,20,2019-04-01
