geoName,interest,date
geoName,interest,date
Portland-Auburn ME,14,2019-02-18
Providence RI-New Bedford MA,15,2019-02-18
Raleigh-Durham (Fayetteville) NC,7,2019-02-18
Reno NV,18,2019-02-18
Richmond-Petersburg VA,16,2019-02-18
Roanoke-Lynchburg VA,11,2019-02-18
Rochester NY,12,2019-02-18
Rockford IL,32,2019-02-18
Sacramento-Stockton-Modesto CA,6,2019-02-18
Salisbury MD,36,2019-02-18
Salt Lake City UT,7,2019-02-18
San Antonio TX,9,2019-02-18
San Diego CA,8,2019-02-18
San Francisco-Oakland-San Jose CA,10,2019-02-18
Santa Barbara-Santa Maria-San Luis Obispo CA,17,2019-02-18
Savannah GA,12,2019-02-18
Seattle-Tacoma WA,9,2019-02-18
South Bend-Elkhart IN,34,2019-02-18
Spokane WA,12,2019-02-18
Springfield-Holyoke MA,35,2019-02-18
St. Louis MO,4,2019-02-18
Syracuse NY,20,2019-02-18
Tallahassee FL-Thomasville GA,19,2019-02-18
Tampa-St. Petersburg (Sarasota) FL,10,2019-02-18
Traverse City-Cadillac MI,58,2019-02-18
Tucson (Sierra Vista) AZ,11,2019-02-18
Tulsa OK,16,2019-02-18
Twin Falls ID,87,2019-02-18
Utica NY,58,2019-02-18
Waco-Temple-Bryan TX,12,2019-02-18
Washington DC (Hagerstown MD),17,2019-02-18
Watertown NY,69,2019-02-18
West Palm Beach-Ft. Pierce FL,15,2019-02-18
Wheeling WV-Steubenville OH,54,2019-02-18
Wichita-Hutchinson KS,12,2019-02-18
Wilkes Barre-Scranton PA,10,2019-02-18
Yuma AZ-El Centro CA,44,2019-02-18
Albany-Schenectady-Troy NY,19,2019-02-25
Albuquerque-Santa Fe NM,22,2019-02-25
Amarillo TX,38,2019-02-25
Atlanta GA,6,2019-02-25
Austin TX,7,2019-02-25
Baltimore MD,5,2019-02-25
Baton Rouge LA,19,2019-02-25
Birmingham AL,8,2019-02-25
Boise ID,38,2019-02-25
Boston MA-Manchester NH,9,2019-02-25
Buffalo NY,9,2019-02-25
Burlington VT-Plattsburgh NY,40,2019-02-25
Butte-Bozeman MT,77,2019-02-25
Charleston-Huntington WV,19,2019-02-25
Charlotte NC,4,2019-02-25
Charlottesville VA,53,2019-02-25
Chattanooga TN,18,2019-02-25
Chicago IL,6,2019-02-25
Chico-Redding CA,34,2019-02-25
Cincinnati OH,6,2019-02-25
Cleveland-Akron (Canton) OH,9,2019-02-25
Colorado Springs-Pueblo CO,15,2019-02-25
Columbia SC,14,2019-02-25
Columbus GA,29,2019-02-25
Columbus OH,8,2019-02-25
Dallas-Ft. Worth TX,6,2019-02-25
Dayton OH,14,2019-02-25
Denver CO,17,2019-02-25
Des Moines-Ames IA,13,2019-02-25
Detroit MI,3,2019-02-25
Erie PA,46,2019-02-25
Eugene OR,24,2019-02-25
Fargo-Valley City ND,27,2019-02-25
Ft. Myers-Naples FL,21,2019-02-25
Green Bay-Appleton WI,15,2019-02-25
