geoName,NBA Finals,date
Columbus-Tupelo-West Point MS,0,2019-01-07
Corpus Christi TX,0,2019-01-07
Dallas-Ft. Worth TX,3,2019-01-07
Davenport IA-Rock Island-Moline IL,18,2019-01-07
Dayton OH,0,2019-01-07
Denver CO,3,2019-01-07
Des Moines-Ames IA,20,2019-01-07
Detroit MI,3,2019-01-07
Dothan AL,0,2019-01-07
Duluth MN-Superior WI,0,2019-01-07
El Paso TX,0,2019-01-07
Elmira NY,0,2019-01-07
Erie PA,0,2019-01-07
Eugene OR,0,2019-01-07
Eureka CA,0,2019-01-07
Evansville IN,0,2019-01-07
Fairbanks AK,0,2019-01-07
Fargo-Valley City ND,20,2019-01-07
Flint-Saginaw-Bay City MI,12,2019-01-07
Florence-Myrtle Beach SC,0,2019-01-07
Fresno-Visalia CA,7,2019-01-07
Ft. Myers-Naples FL,8,2019-01-07
Ft. Smith-Fayetteville-Springdale-Rogers AR,15,2019-01-07
Ft. Wayne IN,0,2019-01-07
Gainesville FL,0,2019-01-07
Glendive MT,0,2019-01-07
Grand Junction-Montrose CO,0,2019-01-07
Grand Rapids-Kalamazoo-Battle Creek MI,17,2019-01-07
Great Falls MT,100,2019-01-07
Green Bay-Appleton WI,16,2019-01-07
Greensboro-High Point-Winston Salem NC,0,2019-01-07
Greenville-New Bern-Washington NC,15,2019-01-07
Greenville-Spartanburg SC-Asheville NC-Anderson SC,8,2019-01-07
Greenwood-Greenville MS,0,2019-01-07
Harlingen-Weslaco-Brownsville-McAllen TX,10,2019-01-07
Harrisburg-Lancaster-Lebanon-York PA,0,2019-01-07
Harrisonburg VA,0,2019-01-07
Hartford & New Haven CT,9,2019-01-07
Hattiesburg-Laurel MS,0,2019-01-07
Helena MT,0,2019-01-07
Honolulu HI,20,2019-01-07
Houston TX,6,2019-01-07
Huntsville-Decatur (Florence) AL,13,2019-01-07
Idaho Falls-Pocatello ID,0,2019-01-07
Indianapolis IN,5,2019-01-07
Jackson MS,0,2019-01-07
Jackson TN,0,2019-01-07
Jacksonville FL,6,2019-01-07
Johnstown-Altoona PA,0,2019-01-07
Jonesboro AR,0,2019-01-07
Joplin MO-Pittsburg KS,0,2019-01-07
Juneau AK,0,2019-01-07
Kansas City MO,4,2019-01-07
Knoxville TN,9,2019-01-07
La Crosse-Eau Claire WI,0,2019-01-07
Lafayette IN,0,2019-01-07
Lafayette LA,26,2019-01-07
Lake Charles LA,0,2019-01-07
Lansing MI,0,2019-01-07
Laredo TX,0,2019-01-07
Las Vegas NV,4,2019-01-07
Lexington KY,0,2019-01-07
Lima OH,0,2019-01-07
Lincoln & Hastings-Kearney NE,0,2019-01-07
Little Rock-Pine Bluff AR,18,2019-01-07
Los Angeles CA,4,2019-01-07
Louisville KY,13,2019-01-07
Lubbock TX,0,2019-01-07
Macon GA,0,2019-01-07
Madison WI,0,2019-01-07
Mankato MN,0,2019-01-07
Marquette MI,0,2019-01-07
Medford-Klamath Falls OR,29,2019-01-07
Memphis TN,14,2019-01-07
Meridian MS,0,2019-01-07
Miami-Ft. Lauderdale FL,4,2019-01-07
Milwaukee WI,12,2019-01-07
Minneapolis-St. Paul MN,5,2019-01-07
Minot-Bismarck-Dickinson(Williston) ND,0,2019-01-07
Missoula MT,0,2019-01-07
Mobile AL-Pensacola (Ft. Walton Beach) FL,9,2019-01-07
Monroe LA-El Dorado AR,0,2019-01-07
Monterey-Salinas CA,0,2019-01-07
Montgomery (Selma) AL,0,2019-01-07
Nashville TN,5,2019-01-07
New Orleans LA,6,2019-01-07
New York NY,5,2019-01-07
Norfolk-Portsmouth-Newport News VA,5,2019-01-07
North Platte NE,0,2019-01-07
Odessa-Midland TX,0,2019-01-07
Oklahoma City OK,6,2019-01-07
Omaha NE,8,2019-01-07
Orlando-Daytona Beach-Melbourne FL,4,2019-01-07
Ottumwa IA-Kirksville MO,0,2019-01-07
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,18,2019-01-07
Palm Springs CA,0,2019-01-07
Panama City FL,0,2019-01-07
Parkersburg WV,0,2019-01-07
Peoria-Bloomington IL,0,2019-01-07
Philadelphia PA,4,2019-01-07
Phoenix AZ,4,2019-01-07
Pittsburgh PA,11,2019-01-07
Portland OR,3,2019-01-07
Portland-Auburn ME,11,2019-01-07
Presque Isle ME,0,2019-01-07
Providence RI-New Bedford MA,7,2019-01-07
Quincy IL-Hannibal MO-Keokuk IA,0,2019-01-07
Raleigh-Durham (Fayetteville) NC,5,2019-01-07
Rapid City SD,0,2019-01-07
Reno NV,16,2019-01-07
Richmond-Petersburg VA,7,2019-01-07
Roanoke-Lynchburg VA,0,2019-01-07
Rochester MN-Mason City IA-Austin MN,31,2019-01-07
Rochester NY,33,2019-01-07
Rockford IL,0,2019-01-07
Sacramento-Stockton-Modesto CA,4,2019-01-07
Salisbury MD,0,2019-01-07
Salt Lake City UT,10,2019-01-07
San Angelo TX,0,2019-01-07
San Antonio TX,8,2019-01-07
San Diego CA,3,2019-01-07
San Francisco-Oakland-San Jose CA,8,2019-01-07
Santa Barbara-Santa Maria-San Luis Obispo CA,0,2019-01-07
Savannah GA,0,2019-01-07
Seattle-Tacoma WA,2,2019-01-07
Sherman TX-Ada OK,0,2019-01-07
Shreveport LA,17,2019-01-07
Sioux City IA,0,2019-01-07
Sioux Falls(Mitchell) SD,19,2019-01-07
South Bend-Elkhart IN,0,2019-01-07
Spokane WA,11,2019-01-07
Springfield MO,13,2019-01-07
Springfield-Holyoke MA,0,2019-01-07
St. Joseph MO,0,2019-01-07
St. Louis MO,4,2019-01-07
Syracuse NY,12,2019-01-07
Tallahassee FL-Thomasville GA,0,2019-01-07
Tampa-St. Petersburg (Sarasota) FL,4,2019-01-07
Terre Haute IN,0,2019-01-07
Toledo OH,0,2019-01-07
Topeka KS,0,2019-01-07
Traverse City-Cadillac MI,0,2019-01-07
Tri-Cities TN-VA,0,2019-01-07
Tucson (Sierra Vista) AZ,10,2019-01-07
Tulsa OK,9,2019-01-07
Twin Falls ID,0,2019-01-07
Tyler-Longview(Lufkin & Nacogdoches) TX,0,2019-01-07
Utica NY,0,2019-01-07
Victoria TX,0,2019-01-07
Waco-Temple-Bryan TX,0,2019-01-07
Washington DC (Hagerstown MD),5,2019-01-07
Watertown NY,0,2019-01-07
Wausau-Rhinelander WI,0,2019-01-07
West Palm Beach-Ft. Pierce FL,5,2019-01-07
Wheeling WV-Steubenville OH,0,2019-01-07
Wichita Falls TX & Lawton OK,0,2019-01-07
Wichita-Hutchinson KS,11,2019-01-07
Wilkes Barre-Scranton PA,19,2019-01-07
Wilmington NC,0,2019-01-07
Yakima-Pasco-Richland-Kennewick WA,19,2019-01-07
Youngstown OH,0,2019-01-07
Yuma AZ-El Centro CA,0,2019-01-07
Zanesville OH,0,2019-01-07
Abilene-Sweetwater TX,0,2019-01-14
Albany GA,0,2019-01-14
Albany-Schenectady-Troy NY,8,2019-01-14
Albuquerque-Santa Fe NM,0,2019-01-14
Alexandria LA,0,2019-01-14
Alpena MI,0,2019-01-14
Amarillo TX,0,2019-01-14
Anchorage AK,0,2019-01-14
Atlanta GA,3,2019-01-14
Augusta GA,15,2019-01-14
Austin TX,4,2019-01-14
Bakersfield CA,21,2019-01-14
Baltimore MD,8,2019-01-14
Bangor ME,30,2019-01-14
Baton Rouge LA,0,2019-01-14
Beaumont-Port Arthur TX,0,2019-01-14
Bend OR,41,2019-01-14
"Billings, MT",41,2019-01-14
Biloxi-Gulfport MS,29,2019-01-14
Binghamton NY,0,2019-01-14
Birmingham AL,4,2019-01-14
Bluefield-Beckley-Oak Hill WV,0,2019-01-14
Boise ID,11,2019-01-14
Boston MA-Manchester NH,5,2019-01-14
Bowling Green KY,0,2019-01-14
Buffalo NY,0,2019-01-14
Burlington VT-Plattsburgh NY,0,2019-01-14
Butte-Bozeman MT,0,2019-01-14
Casper-Riverton WY,0,2019-01-14
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0,2019-01-14
Champaign & Springfield-Decatur IL,10,2019-01-14
Charleston SC,9,2019-01-14
Charleston-Huntington WV,11,2019-01-14
Charlotte NC,3,2019-01-14
Charlottesville VA,30,2019-01-14
Chattanooga TN,0,2019-01-14
Cheyenne WY-Scottsbluff NE,0,2019-01-14
Chicago IL,4,2019-01-14
Chico-Redding CA,0,2019-01-14
Cincinnati OH,3,2019-01-14
Clarksburg-Weston WV,0,2019-01-14
Cleveland-Akron (Canton) OH,7,2019-01-14
Colorado Springs-Pueblo CO,9,2019-01-14
Columbia SC,8,2019-01-14
Columbia-Jefferson City MO,22,2019-01-14
Columbus GA,0,2019-01-14
Columbus OH,6,2019-01-14
Columbus-Tupelo-West Point MS,0,2019-01-14
Corpus Christi TX,0,2019-01-14
Dallas-Ft. Worth TX,5,2019-01-14
Davenport IA-Rock Island-Moline IL,23,2019-01-14
Dayton OH,0,2019-01-14
Denver CO,4,2019-01-14
Des Moines-Ames IA,11,2019-01-14
Detroit MI,6,2019-01-14
Dothan AL,44,2019-01-14
Duluth MN-Superior WI,0,2019-01-14
El Paso TX,0,2019-01-14
Elmira NY,0,2019-01-14
Erie PA,0,2019-01-14
Eugene OR,0,2019-01-14
Eureka CA,0,2019-01-14
Evansville IN,0,2019-01-14
Fairbanks AK,0,2019-01-14
Fargo-Valley City ND,0,2019-01-14
Flint-Saginaw-Bay City MI,9,2019-01-14
Florence-Myrtle Beach SC,0,2019-01-14
Fresno-Visalia CA,11,2019-01-14
Ft. Myers-Naples FL,9,2019-01-14
Ft. Smith-Fayetteville-Springdale-Rogers AR,0,2019-01-14
Ft. Wayne IN,14,2019-01-14
Gainesville FL,0,2019-01-14
Glendive MT,0,2019-01-14
Grand Junction-Montrose CO,0,2019-01-14
Grand Rapids-Kalamazoo-Battle Creek MI,6,2019-01-14
Great Falls MT,0,2019-01-14
Green Bay-Appleton WI,17,2019-01-14
Greensboro-High Point-Winston Salem NC,5,2019-01-14
Greenville-New Bern-Washington NC,11,2019-01-14
Greenville-Spartanburg SC-Asheville NC-Anderson SC,4,2019-01-14
Greenwood-Greenville MS,0,2019-01-14
Harlingen-Weslaco-Brownsville-McAllen TX,0,2019-01-14
Harrisburg-Lancaster-Lebanon-York PA,0,2019-01-14
Harrisonburg VA,0,2019-01-14
Hartford & New Haven CT,5,2019-01-14
Hattiesburg-Laurel MS,0,2019-01-14
Helena MT,0,2019-01-14
Honolulu HI,6,2019-01-14
Houston TX,5,2019-01-14
Huntsville-Decatur (Florence) AL,0,2019-01-14
Idaho Falls-Pocatello ID,0,2019-01-14
Indianapolis IN,4,2019-01-14
Jackson MS,22,2019-01-14
Jackson TN,100,2019-01-14
Jacksonville FL,9,2019-01-14
Johnstown-Altoona PA,12,2019-01-14
Jonesboro AR,53,2019-01-14
Joplin MO-Pittsburg KS,0,2019-01-14
Juneau AK,0,2019-01-14
Kansas City MO,3,2019-01-14
Knoxville TN,7,2019-01-14
La Crosse-Eau Claire WI,0,2019-01-14
Lafayette IN,49,2019-01-14
Lafayette LA,0,2019-01-14
Lake Charles LA,0,2019-01-14
Lansing MI,0,2019-01-14
Laredo TX,39,2019-01-14
Las Vegas NV,0,2019-01-14
Lexington KY,8,2019-01-14
Lima OH,0,2019-01-14
Lincoln & Hastings-Kearney NE,0,2019-01-14
Little Rock-Pine Bluff AR,7,2019-01-14
Los Angeles CA,4,2019-01-14
Louisville KY,0,2019-01-14
Lubbock TX,0,2019-01-14
Macon GA,17,2019-01-14
Madison WI,12,2019-01-14
Mankato MN,0,2019-01-14
Marquette MI,50,2019-01-14
Medford-Klamath Falls OR,0,2019-01-14
Memphis TN,6,2019-01-14
Meridian MS,0,2019-01-14
Miami-Ft. Lauderdale FL,4,2019-01-14
Milwaukee WI,3,2019-01-14
Minneapolis-St. Paul MN,6,2019-01-14
Minot-Bismarck-Dickinson(Williston) ND,25,2019-01-14
Missoula MT,33,2019-01-14
Mobile AL-Pensacola (Ft. Walton Beach) FL,0,2019-01-14
Monroe LA-El Dorado AR,0,2019-01-14
Monterey-Salinas CA,12,2019-01-14
Montgomery (Selma) AL,0,2019-01-14
Nashville TN,2,2019-01-14
New Orleans LA,5,2019-01-14
New York NY,5,2019-01-14
Norfolk-Portsmouth-Newport News VA,8,2019-01-14
North Platte NE,0,2019-01-14
Odessa-Midland TX,0,2019-01-14
Oklahoma City OK,5,2019-01-14
Omaha NE,6,2019-01-14
Orlando-Daytona Beach-Melbourne FL,3,2019-01-14
Ottumwa IA-Kirksville MO,0,2019-01-14
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,13,2019-01-14
Palm Springs CA,0,2019-01-14
Panama City FL,0,2019-01-14
Parkersburg WV,0,2019-01-14
Peoria-Bloomington IL,14,2019-01-14
Philadelphia PA,6,2019-01-14
Phoenix AZ,7,2019-01-14
Pittsburgh PA,7,2019-01-14
Portland OR,3,2019-01-14
Portland-Auburn ME,8,2019-01-14
Presque Isle ME,0,2019-01-14
Providence RI-New Bedford MA,5,2019-01-14
Quincy IL-Hannibal MO-Keokuk IA,0,2019-01-14
Raleigh-Durham (Fayetteville) NC,5,2019-01-14
Rapid City SD,0,2019-01-14
Reno NV,12,2019-01-14
Richmond-Petersburg VA,5,2019-01-14
Roanoke-Lynchburg VA,8,2019-01-14
Rochester MN-Mason City IA-Austin MN,0,2019-01-14
Rochester NY,8,2019-01-14
Rockford IL,21,2019-01-14
Sacramento-Stockton-Modesto CA,4,2019-01-14
Salisbury MD,0,2019-01-14
Salt Lake City UT,2,2019-01-14
San Angelo TX,0,2019-01-14
San Antonio TX,5,2019-01-14
San Diego CA,2,2019-01-14
San Francisco-Oakland-San Jose CA,5,2019-01-14
Santa Barbara-Santa Maria-San Luis Obispo CA,11,2019-01-14
Savannah GA,10,2019-01-14
Seattle-Tacoma WA,1,2019-01-14
Sherman TX-Ada OK,0,2019-01-14
Shreveport LA,0,2019-01-14
Sioux City IA,0,2019-01-14
Sioux Falls(Mitchell) SD,0,2019-01-14
South Bend-Elkhart IN,11,2019-01-14
Spokane WA,8,2019-01-14
Springfield MO,0,2019-01-14
Springfield-Holyoke MA,12,2019-01-14
St. Joseph MO,0,2019-01-14
St. Louis MO,4,2019-01-14
Syracuse NY,0,2019-01-14
Tallahassee FL-Thomasville GA,0,2019-01-14
Tampa-St. Petersburg (Sarasota) FL,3,2019-01-14
Terre Haute IN,34,2019-01-14
Toledo OH,9,2019-01-14
Topeka KS,0,2019-01-14
Traverse City-Cadillac MI,0,2019-01-14
Tri-Cities TN-VA,0,2019-01-14
Tucson (Sierra Vista) AZ,0,2019-01-14
Tulsa OK,7,2019-01-14
Twin Falls ID,0,2019-01-14
Tyler-Longview(Lufkin & Nacogdoches) TX,0,2019-01-14
Utica NY,0,2019-01-14
Victoria TX,0,2019-01-14
Waco-Temple-Bryan TX,9,2019-01-14
Washington DC (Hagerstown MD),3,2019-01-14
Watertown NY,0,2019-01-14
Wausau-Rhinelander WI,0,2019-01-14
West Palm Beach-Ft. Pierce FL,4,2019-01-14
Wheeling WV-Steubenville OH,0,2019-01-14
Wichita Falls TX & Lawton OK,0,2019-01-14
Wichita-Hutchinson KS,0,2019-01-14
Wilkes Barre-Scranton PA,11,2019-01-14
Wilmington NC,18,2019-01-14
Yakima-Pasco-Richland-Kennewick WA,0,2019-01-14
Youngstown OH,33,2019-01-14
Yuma AZ-El Centro CA,0,2019-01-14
Zanesville OH,0,2019-01-14
Abilene-Sweetwater TX,29,2019-01-21
Albany GA,0,2019-01-21
Albany-Schenectady-Troy NY,4,2019-01-21
Albuquerque-Santa Fe NM,4,2019-01-21
Alexandria LA,0,2019-01-21
Alpena MI,0,2019-01-21
Amarillo TX,17,2019-01-21
Anchorage AK,0,2019-01-21
Atlanta GA,3,2019-01-21
Augusta GA,11,2019-01-21
Austin TX,3,2019-01-21
Bakersfield CA,11,2019-01-21
Baltimore MD,2,2019-01-21
Bangor ME,0,2019-01-21
Baton Rouge LA,0,2019-01-21
Beaumont-Port Arthur TX,20,2019-01-21
Bend OR,0,2019-01-21
"Billings, MT",0,2019-01-21
Biloxi-Gulfport MS,0,2019-01-21
Binghamton NY,0,2019-01-21
Birmingham AL,3,2019-01-21
Bluefield-Beckley-Oak Hill WV,0,2019-01-21
Boise ID,8,2019-01-21
Boston MA-Manchester NH,4,2019-01-21
Bowling Green KY,35,2019-01-21
Buffalo NY,0,2019-01-21
Burlington VT-Plattsburgh NY,0,2019-01-21
Butte-Bozeman MT,0,2019-01-21
Casper-Riverton WY,0,2019-01-21
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,16,2019-01-21
Champaign & Springfield-Decatur IL,8,2019-01-21
Charleston SC,7,2019-01-21
