geoName,NBA Finals,date
Sherman TX-Ada OK,0,2019-02-25
Shreveport LA,5,2019-02-25
Sioux City IA,0,2019-02-25
Sioux Falls(Mitchell) SD,6,2019-02-25
South Bend-Elkhart IN,4,2019-02-25
Spokane WA,3,2019-02-25
Springfield MO,4,2019-02-25
Springfield-Holyoke MA,4,2019-02-25
St. Joseph MO,0,2019-02-25
St. Louis MO,1,2019-02-25
Syracuse NY,0,2019-02-25
Tallahassee FL-Thomasville GA,0,2019-02-25
Tampa-St. Petersburg (Sarasota) FL,1,2019-02-25
Terre Haute IN,13,2019-02-25
Toledo OH,7,2019-02-25
Topeka KS,8,2019-02-25
Traverse City-Cadillac MI,0,2019-02-25
Tri-Cities TN-VA,0,2019-02-25
Tucson (Sierra Vista) AZ,0,2019-02-25
Tulsa OK,5,2019-02-25
Twin Falls ID,0,2019-02-25
Tyler-Longview(Lufkin & Nacogdoches) TX,0,2019-02-25
Utica NY,0,2019-02-25
Victoria TX,0,2019-02-25
Waco-Temple-Bryan TX,3,2019-02-25
Washington DC (Hagerstown MD),2,2019-02-25
Watertown NY,0,2019-02-25
Wausau-Rhinelander WI,9,2019-02-25
West Palm Beach-Ft. Pierce FL,2,2019-02-25
Wheeling WV-Steubenville OH,0,2019-02-25
Wichita Falls TX & Lawton OK,0,2019-02-25
Wichita-Hutchinson KS,3,2019-02-25
Wilkes Barre-Scranton PA,3,2019-02-25
Wilmington NC,0,2019-02-25
Yakima-Pasco-Richland-Kennewick WA,5,2019-02-25
Youngstown OH,0,2019-02-25
Yuma AZ-El Centro CA,12,2019-02-25
Zanesville OH,0,2019-02-25
Abilene-Sweetwater TX,0,2019-03-04
Albany GA,0,2019-03-04
Albany-Schenectady-Troy NY,23,2019-03-04
Albuquerque-Santa Fe NM,7,2019-03-04
Alexandria LA,0,2019-03-04
Alpena MI,0,2019-03-04
Amarillo TX,31,2019-03-04
Anchorage AK,30,2019-03-04
Atlanta GA,6,2019-03-04
Augusta GA,21,2019-03-04
Austin TX,9,2019-03-04
Bakersfield CA,20,2019-03-04
Baltimore MD,8,2019-03-04
Bangor ME,40,2019-03-04
Baton Rouge LA,0,2019-03-04
Beaumont-Port Arthur TX,0,2019-03-04
Bend OR,0,2019-03-04
"Billings, MT",0,2019-03-04
Biloxi-Gulfport MS,43,2019-03-04
Binghamton NY,40,2019-03-04
Birmingham AL,15,2019-03-04
Bluefield-Beckley-Oak Hill WV,0,2019-03-04
Boise ID,0,2019-03-04
Boston MA-Manchester NH,12,2019-03-04
Bowling Green KY,0,2019-03-04
Buffalo NY,8,2019-03-04
Burlington VT-Plattsburgh NY,23,2019-03-04
Butte-Bozeman MT,0,2019-03-04
Casper-Riverton WY,0,2019-03-04
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,14,2019-03-04
Champaign & Springfield-Decatur IL,14,2019-03-04
Charleston SC,0,2019-03-04
Charleston-Huntington WV,0,2019-03-04
Charlotte NC,4,2019-03-04
Charlottesville VA,0,2019-03-04
Chattanooga TN,14,2019-03-04
Cheyenne WY-Scottsbluff NE,0,2019-03-04
Chicago IL,9,2019-03-04
Chico-Redding CA,0,2019-03-04
Cincinnati OH,6,2019-03-04
Clarksburg-Weston WV,0,2019-03-04
Cleveland-Akron (Canton) OH,8,2019-03-04
Colorado Springs-Pueblo CO,12,2019-03-04
Columbia SC,18,2019-03-04
Columbia-Jefferson City MO,0,2019-03-04
Columbus GA,24,2019-03-04
Columbus OH,11,2019-03-04
Columbus-Tupelo-West Point MS,0,2019-03-04
Corpus Christi TX,0,2019-03-04
Dallas-Ft. Worth TX,8,2019-03-04
Davenport IA-Rock Island-Moline IL,0,2019-03-04
Dayton OH,12,2019-03-04
Denver CO,4,2019-03-04
Des Moines-Ames IA,0,2019-03-04
Detroit MI,9,2019-03-04
Dothan AL,0,2019-03-04
Duluth MN-Superior WI,0,2019-03-04
El Paso TX,13,2019-03-04
Elmira NY,0,2019-03-04
Erie PA,0,2019-03-04
Eugene OR,0,2019-03-04
Eureka CA,0,2019-03-04
Evansville IN,0,2019-03-04
Fairbanks AK,0,2019-03-04
Fargo-Valley City ND,0,2019-03-04
Flint-Saginaw-Bay City MI,27,2019-03-04
Florence-Myrtle Beach SC,17,2019-03-04
Fresno-Visalia CA,0,2019-03-04
Ft. Myers-Naples FL,13,2019-03-04
Ft. Smith-Fayetteville-Springdale-Rogers AR,15,2019-03-04
Ft. Wayne IN,20,2019-03-04
Gainesville FL,0,2019-03-04
Glendive MT,0,2019-03-04
Grand Junction-Montrose CO,0,2019-03-04
Grand Rapids-Kalamazoo-Battle Creek MI,10,2019-03-04
Great Falls MT,0,2019-03-04
Green Bay-Appleton WI,12,2019-03-04
Greensboro-High Point-Winston Salem NC,0,2019-03-04
Greenville-New Bern-Washington NC,0,2019-03-04
Greenville-Spartanburg SC-Asheville NC-Anderson SC,6,2019-03-04
Greenwood-Greenville MS,0,2019-03-04
Harlingen-Weslaco-Brownsville-McAllen TX,22,2019-03-04
Harrisburg-Lancaster-Lebanon-York PA,7,2019-03-04
Harrisonburg VA,59,2019-03-04
Hartford & New Haven CT,8,2019-03-04
Hattiesburg-Laurel MS,65,2019-03-04
Helena MT,0,2019-03-04
Honolulu HI,9,2019-03-04
Houston TX,7,2019-03-04
Huntsville-Decatur (Florence) AL,18,2019-03-04
Idaho Falls-Pocatello ID,0,2019-03-04
Indianapolis IN,11,2019-03-04
Jackson MS,16,2019-03-04
Jackson TN,0,2019-03-04
Jacksonville FL,7,2019-03-04
Johnstown-Altoona PA,19,2019-03-04
Jonesboro AR,0,2019-03-04
Joplin MO-Pittsburg KS,42,2019-03-04
Juneau AK,0,2019-03-04
Kansas City MO,6,2019-03-04
Knoxville TN,0,2019-03-04
La Crosse-Eau Claire WI,0,2019-03-04
Lafayette IN,0,2019-03-04
Lafayette LA,0,2019-03-04
Lake Charles LA,0,2019-03-04
Lansing MI,21,2019-03-04
Laredo TX,0,2019-03-04
Las Vegas NV,11,2019-03-04
Lexington KY,11,2019-03-04
Lima OH,0,2019-03-04
Lincoln & Hastings-Kearney NE,0,2019-03-04
Little Rock-Pine Bluff AR,10,2019-03-04
Los Angeles CA,8,2019-03-04
Louisville KY,14,2019-03-04
Lubbock TX,0,2019-03-04
Macon GA,0,2019-03-04
Madison WI,11,2019-03-04
Mankato MN,100,2019-03-04
Marquette MI,75,2019-03-04
Medford-Klamath Falls OR,0,2019-03-04
Memphis TN,16,2019-03-04
Meridian MS,0,2019-03-04
Miami-Ft. Lauderdale FL,5,2019-03-04
Milwaukee WI,13,2019-03-04
Minneapolis-St. Paul MN,5,2019-03-04
Minot-Bismarck-Dickinson(Williston) ND,0,2019-03-04
Missoula MT,47,2019-03-04
Mobile AL-Pensacola (Ft. Walton Beach) FL,19,2019-03-04
Monroe LA-El Dorado AR,0,2019-03-04
Monterey-Salinas CA,34,2019-03-04
Montgomery (Selma) AL,40,2019-03-04
Nashville TN,9,2019-03-04
New Orleans LA,14,2019-03-04
New York NY,8,2019-03-04
Norfolk-Portsmouth-Newport News VA,6,2019-03-04
North Platte NE,0,2019-03-04
Odessa-Midland TX,0,2019-03-04
Oklahoma City OK,14,2019-03-04
Omaha NE,9,2019-03-04
Orlando-Daytona Beach-Melbourne FL,5,2019-03-04
Ottumwa IA-Kirksville MO,0,2019-03-04
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,18,2019-03-04
Palm Springs CA,0,2019-03-04
Panama City FL,39,2019-03-04
Parkersburg WV,0,2019-03-04
Peoria-Bloomington IL,19,2019-03-04
Philadelphia PA,10,2019-03-04
Phoenix AZ,3,2019-03-04
Pittsburgh PA,8,2019-03-04
Portland OR,6,2019-03-04
Portland-Auburn ME,0,2019-03-04
Presque Isle ME,0,2019-03-04
Providence RI-New Bedford MA,7,2019-03-04
Quincy IL-Hannibal MO-Keokuk IA,0,2019-03-04
Raleigh-Durham (Fayetteville) NC,9,2019-03-04
Rapid City SD,0,2019-03-04
Reno NV,0,2019-03-04
Richmond-Petersburg VA,13,2019-03-04
Roanoke-Lynchburg VA,15,2019-03-04
Rochester MN-Mason City IA-Austin MN,0,2019-03-04
Rochester NY,23,2019-03-04
Rockford IL,0,2019-03-04
Sacramento-Stockton-Modesto CA,4,2019-03-04
Salisbury MD,35,2019-03-04
Salt Lake City UT,8,2019-03-04
San Angelo TX,0,2019-03-04
San Antonio TX,11,2019-03-04
San Diego CA,6,2019-03-04
San Francisco-Oakland-San Jose CA,11,2019-03-04
Santa Barbara-Santa Maria-San Luis Obispo CA,16,2019-03-04
Savannah GA,0,2019-03-04
Seattle-Tacoma WA,5,2019-03-04
Sherman TX-Ada OK,0,2019-03-04
Shreveport LA,0,2019-03-04
Sioux City IA,39,2019-03-04
Sioux Falls(Mitchell) SD,0,2019-03-04
South Bend-Elkhart IN,16,2019-03-04
Spokane WA,24,2019-03-04
Springfield MO,0,2019-03-04
Springfield-Holyoke MA,16,2019-03-04
St. Joseph MO,0,2019-03-04
St. Louis MO,11,2019-03-04
Syracuse NY,12,2019-03-04
Tallahassee FL-Thomasville GA,27,2019-03-04
Tampa-St. Petersburg (Sarasota) FL,5,2019-03-04
Terre Haute IN,48,2019-03-04
Toledo OH,19,2019-03-04
Topeka KS,0,2019-03-04
Traverse City-Cadillac MI,0,2019-03-04
Tri-Cities TN-VA,20,2019-03-04
Tucson (Sierra Vista) AZ,0,2019-03-04
Tulsa OK,15,2019-03-04
Twin Falls ID,0,2019-03-04
Tyler-Longview(Lufkin & Nacogdoches) TX,22,2019-03-04
Utica NY,0,2019-03-04
Victoria TX,0,2019-03-04
Waco-Temple-Bryan TX,12,2019-03-04
Washington DC (Hagerstown MD),8,2019-03-04
Watertown NY,0,2019-03-04
Wausau-Rhinelander WI,0,2019-03-04
West Palm Beach-Ft. Pierce FL,12,2019-03-04
Wheeling WV-Steubenville OH,0,2019-03-04
Wichita Falls TX & Lawton OK,78,2019-03-04
Wichita-Hutchinson KS,12,2019-03-04
Wilkes Barre-Scranton PA,10,2019-03-04
Wilmington NC,0,2019-03-04
Yakima-Pasco-Richland-Kennewick WA,20,2019-03-04
Youngstown OH,46,2019-03-04
Yuma AZ-El Centro CA,42,2019-03-04
Zanesville OH,0,2019-03-04
Abilene-Sweetwater TX,0,2019-03-11
Albany GA,0,2019-03-11
Albany-Schenectady-Troy NY,0,2019-03-11
Albuquerque-Santa Fe NM,0,2019-03-11
Alexandria LA,0,2019-03-11
Alpena MI,0,2019-03-11
Amarillo TX,0,2019-03-11
Anchorage AK,0,2019-03-11
Atlanta GA,1,2019-03-11
Augusta GA,6,2019-03-11
Austin TX,2,2019-03-11
Bakersfield CA,0,2019-03-11
Baltimore MD,3,2019-03-11
Bangor ME,0,2019-03-11
Baton Rouge LA,4,2019-03-11
Beaumont-Port Arthur TX,0,2019-03-11
Bend OR,0,2019-03-11
"Billings, MT",0,2019-03-11
Biloxi-Gulfport MS,0,2019-03-11
Binghamton NY,0,2019-03-11
Birmingham AL,2,2019-03-11
Bluefield-Beckley-Oak Hill WV,0,2019-03-11
Boise ID,0,2019-03-11
Boston MA-Manchester NH,2,2019-03-11
Bowling Green KY,17,2019-03-11
Buffalo NY,0,2019-03-11
Burlington VT-Plattsburgh NY,0,2019-03-11
Butte-Bozeman MT,0,2019-03-11
Casper-Riverton WY,0,2019-03-11
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,6,2019-03-11
Champaign & Springfield-Decatur IL,4,2019-03-11
Charleston SC,3,2019-03-11
Charleston-Huntington WV,0,2019-03-11
Charlotte NC,2,2019-03-11
Charlottesville VA,0,2019-03-11
Chattanooga TN,0,2019-03-11
Cheyenne WY-Scottsbluff NE,0,2019-03-11
Chicago IL,2,2019-03-11
Chico-Redding CA,0,2019-03-11
Cincinnati OH,1,2019-03-11
Clarksburg-Weston WV,0,2019-03-11
Cleveland-Akron (Canton) OH,3,2019-03-11
Colorado Springs-Pueblo CO,7,2019-03-11
Columbia SC,0,2019-03-11
Columbia-Jefferson City MO,8,2019-03-11
Columbus GA,0,2019-03-11
Columbus OH,4,2019-03-11
Columbus-Tupelo-West Point MS,0,2019-03-11
Corpus Christi TX,7,2019-03-11
Dallas-Ft. Worth TX,2,2019-03-11
Davenport IA-Rock Island-Moline IL,0,2019-03-11
Dayton OH,3,2019-03-11
Denver CO,2,2019-03-11
Des Moines-Ames IA,0,2019-03-11
Detroit MI,3,2019-03-11
Dothan AL,0,2019-03-11
Duluth MN-Superior WI,10,2019-03-11
El Paso TX,7,2019-03-11
Elmira NY,0,2019-03-11
Erie PA,0,2019-03-11
Eugene OR,5,2019-03-11
Eureka CA,0,2019-03-11
Evansville IN,0,2019-03-11
Fairbanks AK,0,2019-03-11
Fargo-Valley City ND,6,2019-03-11
Flint-Saginaw-Bay City MI,3,2019-03-11
Florence-Myrtle Beach SC,5,2019-03-11
Fresno-Visalia CA,4,2019-03-11
Ft. Myers-Naples FL,2,2019-03-11
Ft. Smith-Fayetteville-Springdale-Rogers AR,4,2019-03-11
Ft. Wayne IN,0,2019-03-11
Gainesville FL,0,2019-03-11
Glendive MT,0,2019-03-11
Grand Junction-Montrose CO,0,2019-03-11
Grand Rapids-Kalamazoo-Battle Creek MI,3,2019-03-11
Great Falls MT,0,2019-03-11
Green Bay-Appleton WI,3,2019-03-11
Greensboro-High Point-Winston Salem NC,2,2019-03-11
Greenville-New Bern-Washington NC,0,2019-03-11
Greenville-Spartanburg SC-Asheville NC-Anderson SC,2,2019-03-11
Greenwood-Greenville MS,0,2019-03-11
Harlingen-Weslaco-Brownsville-McAllen TX,3,2019-03-11
Harrisburg-Lancaster-Lebanon-York PA,2,2019-03-11
Harrisonburg VA,0,2019-03-11
Hartford & New Haven CT,2,2019-03-11
Hattiesburg-Laurel MS,0,2019-03-11
Helena MT,0,2019-03-11
Honolulu HI,6,2019-03-11
Houston TX,2,2019-03-11
Huntsville-Decatur (Florence) AL,0,2019-03-11
Idaho Falls-Pocatello ID,0,2019-03-11
Indianapolis IN,1,2019-03-11
Jackson MS,0,2019-03-11
Jackson TN,0,2019-03-11
Jacksonville FL,2,2019-03-11
Johnstown-Altoona PA,0,2019-03-11
Jonesboro AR,0,2019-03-11
Joplin MO-Pittsburg KS,0,2019-03-11
Juneau AK,0,2019-03-11
Kansas City MO,1,2019-03-11
Knoxville TN,4,2019-03-11
La Crosse-Eau Claire WI,7,2019-03-11
Lafayette IN,0,2019-03-11
Lafayette LA,0,2019-03-11
Lake Charles LA,0,2019-03-11
Lansing MI,0,2019-03-11
Laredo TX,0,2019-03-11
Las Vegas NV,3,2019-03-11
Lexington KY,0,2019-03-11
Lima OH,0,2019-03-11
Lincoln & Hastings-Kearney NE,0,2019-03-11
Little Rock-Pine Bluff AR,4,2019-03-11
Los Angeles CA,1,2019-03-11
Louisville KY,0,2019-03-11
Lubbock TX,0,2019-03-11
Macon GA,6,2019-03-11
Madison WI,6,2019-03-11
Mankato MN,0,2019-03-11
Marquette MI,0,2019-03-11
Medford-Klamath Falls OR,9,2019-03-11
Memphis TN,2,2019-03-11
Meridian MS,0,2019-03-11
Miami-Ft. Lauderdale FL,2,2019-03-11
Milwaukee WI,4,2019-03-11
Minneapolis-St. Paul MN,1,2019-03-11
Minot-Bismarck-Dickinson(Williston) ND,10,2019-03-11
Missoula MT,0,2019-03-11
Mobile AL-Pensacola (Ft. Walton Beach) FL,2,2019-03-11
Monroe LA-El Dorado AR,0,2019-03-11
Monterey-Salinas CA,5,2019-03-11
Montgomery (Selma) AL,0,2019-03-11
Nashville TN,1,2019-03-11
New Orleans LA,2,2019-03-11
New York NY,2,2019-03-11
Norfolk-Portsmouth-Newport News VA,2,2019-03-11
North Platte NE,100,2019-03-11
Odessa-Midland TX,8,2019-03-11
Oklahoma City OK,2,2019-03-11
Omaha NE,3,2019-03-11
Orlando-Daytona Beach-Melbourne FL,1,2019-03-11
Ottumwa IA-Kirksville MO,0,2019-03-11
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0,2019-03-11
Palm Springs CA,7,2019-03-11
Panama City FL,0,2019-03-11
Parkersburg WV,0,2019-03-11
Peoria-Bloomington IL,0,2019-03-11
Philadelphia PA,3,2019-03-11
Phoenix AZ,2,2019-03-11
Pittsburgh PA,0,2019-03-11
Portland OR,2,2019-03-11
Portland-Auburn ME,3,2019-03-11
Presque Isle ME,0,2019-03-11
Providence RI-New Bedford MA,3,2019-03-11
Quincy IL-Hannibal MO-Keokuk IA,0,2019-03-11
Raleigh-Durham (Fayetteville) NC,2,2019-03-11
Rapid City SD,0,2019-03-11
Reno NV,5,2019-03-11
Richmond-Petersburg VA,2,2019-03-11
Roanoke-Lynchburg VA,0,2019-03-11
Rochester MN-Mason City IA-Austin MN,0,2019-03-11
Rochester NY,3,2019-03-11
Rockford IL,0,2019-03-11
Sacramento-Stockton-Modesto CA,0,2019-03-11
Salisbury MD,0,2019-03-11
Salt Lake City UT,1,2019-03-11
San Angelo TX,0,2019-03-11
San Antonio TX,3,2019-03-11
San Diego CA,2,2019-03-11
San Francisco-Oakland-San Jose CA,3,2019-03-11
Santa Barbara-Santa Maria-San Luis Obispo CA,4,2019-03-11
Savannah GA,4,2019-03-11
Seattle-Tacoma WA,1,2019-03-11
Sherman TX-Ada OK,0,2019-03-11
Shreveport LA,10,2019-03-11
Sioux City IA,0,2019-03-11
Sioux Falls(Mitchell) SD,6,2019-03-11
South Bend-Elkhart IN,7,2019-03-11
Spokane WA,3,2019-03-11
Springfield MO,0,2019-03-11
Springfield-Holyoke MA,5,2019-03-11
St. Joseph MO,0,2019-03-11
St. Louis MO,1,2019-03-11
Syracuse NY,3,2019-03-11
Tallahassee FL-Thomasville GA,5,2019-03-11
Tampa-St. Petersburg (Sarasota) FL,1,2019-03-11
Terre Haute IN,13,2019-03-11
Toledo OH,3,2019-03-11
Topeka KS,0,2019-03-11
Traverse City-Cadillac MI,7,2019-03-11
Tri-Cities TN-VA,0,2019-03-11
Tucson (Sierra Vista) AZ,0,2019-03-11
Tulsa OK,3,2019-03-11
Twin Falls ID,0,2019-03-11
Tyler-Longview(Lufkin & Nacogdoches) TX,0,2019-03-11
Utica NY,0,2019-03-11
Victoria TX,0,2019-03-11
Waco-Temple-Bryan TX,4,2019-03-11
Washington DC (Hagerstown MD),1,2019-03-11
Watertown NY,0,2019-03-11
Wausau-Rhinelander WI,0,2019-03-11
West Palm Beach-Ft. Pierce FL,2,2019-03-11
Wheeling WV-Steubenville OH,0,2019-03-11
Wichita Falls TX & Lawton OK,10,2019-03-11
Wichita-Hutchinson KS,3,2019-03-11
Wilkes Barre-Scranton PA,0,2019-03-11
Wilmington NC,7,2019-03-11
Yakima-Pasco-Richland-Kennewick WA,6,2019-03-11
Youngstown OH,6,2019-03-11
Yuma AZ-El Centro CA,0,2019-03-11
Zanesville OH,0,2019-03-11
Abilene-Sweetwater TX,0,2019-03-18
Albany GA,12,2019-03-18
Albany-Schenectady-Troy NY,2,2019-03-18
Albuquerque-Santa Fe NM,0,2019-03-18
Alexandria LA,24,2019-03-18
Alpena MI,0,2019-03-18
Amarillo TX,0,2019-03-18
Anchorage AK,0,2019-03-18
Atlanta GA,1,2019-03-18
Augusta GA,0,2019-03-18
Austin TX,4,2019-03-18
Bakersfield CA,6,2019-03-18
Baltimore MD,2,2019-03-18
Bangor ME,0,2019-03-18
Baton Rouge LA,0,2019-03-18
Beaumont-Port Arthur TX,0,2019-03-18
Bend OR,0,2019-03-18
"Billings, MT",16,2019-03-18
Biloxi-Gulfport MS,0,2019-03-18
Binghamton NY,12,2019-03-18
Birmingham AL,2,2019-03-18
Bluefield-Beckley-Oak Hill WV,16,2019-03-18
Boise ID,5,2019-03-18
Boston MA-Manchester NH,3,2019-03-18
Bowling Green KY,18,2019-03-18
Buffalo NY,2,2019-03-18
Burlington VT-Plattsburgh NY,0,2019-03-18
Butte-Bozeman MT,0,2019-03-18
Casper-Riverton WY,0,2019-03-18
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0,2019-03-18
Champaign & Springfield-Decatur IL,4,2019-03-18
Charleston SC,4,2019-03-18
Charleston-Huntington WV,7,2019-03-18
Charlotte NC,1,2019-03-18
Charlottesville VA,0,2019-03-18
Chattanooga TN,0,2019-03-18
Cheyenne WY-Scottsbluff NE,0,2019-03-18
Chicago IL,2,2019-03-18
Chico-Redding CA,0,2019-03-18
Cincinnati OH,3,2019-03-18
Clarksburg-Weston WV,19,2019-03-18
Cleveland-Akron (Canton) OH,2,2019-03-18
Colorado Springs-Pueblo CO,4,2019-03-18
Columbia SC,3,2019-03-18
Columbia-Jefferson City MO,0,2019-03-18
Columbus GA,7,2019-03-18
Columbus OH,1,2019-03-18
Columbus-Tupelo-West Point MS,0,2019-03-18
Corpus Christi TX,14,2019-03-18
Dallas-Ft. Worth TX,2,2019-03-18
Davenport IA-Rock Island-Moline IL,11,2019-03-18
Dayton OH,0,2019-03-18
Denver CO,2,2019-03-18
Des Moines-Ames IA,0,2019-03-18
Detroit MI,2,2019-03-18
Dothan AL,0,2019-03-18
Duluth MN-Superior WI,0,2019-03-18
El Paso TX,4,2019-03-18
Elmira NY,0,2019-03-18
Erie PA,0,2019-03-18
Eugene OR,0,2019-03-18
Eureka CA,24,2019-03-18
Evansville IN,0,2019-03-18
Fairbanks AK,0,2019-03-18
Fargo-Valley City ND,6,2019-03-18
Flint-Saginaw-Bay City MI,0,2019-03-18
Florence-Myrtle Beach SC,5,2019-03-18
Fresno-Visalia CA,2,2019-03-18
Ft. Myers-Naples FL,2,2019-03-18
Ft. Smith-Fayetteville-Springdale-Rogers AR,0,2019-03-18
Ft. Wayne IN,0,2019-03-18
Gainesville FL,0,2019-03-18
Glendive MT,0,2019-03-18
Grand Junction-Montrose CO,0,2019-03-18
Grand Rapids-Kalamazoo-Battle Creek MI,2,2019-03-18
Great Falls MT,0,2019-03-18
Green Bay-Appleton WI,8,2019-03-18
Greensboro-High Point-Winston Salem NC,3,2019-03-18
Greenville-New Bern-Washington NC,5,2019-03-18
Greenville-Spartanburg SC-Asheville NC-Anderson SC,2,2019-03-18
Greenwood-Greenville MS,39,2019-03-18
Harlingen-Weslaco-Brownsville-McAllen TX,3,2019-03-18
Harrisburg-Lancaster-Lebanon-York PA,2,2019-03-18
Harrisonburg VA,0,2019-03-18
Hartford & New Haven CT,2,2019-03-18
Hattiesburg-Laurel MS,0,2019-03-18
Helena MT,0,2019-03-18
Honolulu HI,3,2019-03-18
Houston TX,2,2019-03-18
Huntsville-Decatur (Florence) AL,4,2019-03-18
Idaho Falls-Pocatello ID,11,2019-03-18
Indianapolis IN,1,2019-03-18
Jackson MS,5,2019-03-18
Jackson TN,0,2019-03-18
Jacksonville FL,2,2019-03-18
Johnstown-Altoona PA,5,2019-03-18
Jonesboro AR,0,2019-03-18
Joplin MO-Pittsburg KS,13,2019-03-18
Juneau AK,0,2019-03-18
Kansas City MO,3,2019-03-18
Knoxville TN,3,2019-03-18
La Crosse-Eau Claire WI,7,2019-03-18
Lafayette IN,0,2019-03-18
Lafayette LA,0,2019-03-18
Lake Charles LA,0,2019-03-18
Lansing MI,0,2019-03-18
Laredo TX,16,2019-03-18
Las Vegas NV,1,2019-03-18
Lexington KY,0,2019-03-18
Lima OH,0,2019-03-18
Lincoln & Hastings-Kearney NE,0,2019-03-18
Little Rock-Pine Bluff AR,0,2019-03-18
Los Angeles CA,2,2019-03-18
Louisville KY,2,2019-03-18
Lubbock TX,0,2019-03-18
Macon GA,7,2019-03-18
Madison WI,3,2019-03-18
Mankato MN,0,2019-03-18
Marquette MI,20,2019-03-18
Medford-Klamath Falls OR,0,2019-03-18
Memphis TN,2,2019-03-18
Meridian MS,0,2019-03-18
Miami-Ft. Lauderdale FL,1,2019-03-18
Milwaukee WI,3,2019-03-18
Minneapolis-St. Paul MN,1,2019-03-18
Minot-Bismarck-Dickinson(Williston) ND,10,2019-03-18
Missoula MT,0,2019-03-18
Mobile AL-Pensacola (Ft. Walton Beach) FL,3,2019-03-18
Monroe LA-El Dorado AR,0,2019-03-18
Monterey-Salinas CA,5,2019-03-18
Montgomery (Selma) AL,8,2019-03-18
Nashville TN,1,2019-03-18
New Orleans LA,2,2019-03-18
New York NY,2,2019-03-18
Norfolk-Portsmouth-Newport News VA,1,2019-03-18
North Platte NE,100,2019-03-18
Odessa-Midland TX,8,2019-03-18
Oklahoma City OK,4,2019-03-18
Omaha NE,5,2019-03-18
Orlando-Daytona Beach-Melbourne FL,2,2019-03-18
Ottumwa IA-Kirksville MO,0,2019-03-18
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,5,2019-03-18
Palm Springs CA,0,2019-03-18
Panama City FL,0,2019-03-18
Parkersburg WV,0,2019-03-18
Peoria-Bloomington IL,8,2019-03-18
Philadelphia PA,3,2019-03-18
Phoenix AZ,2,2019-03-18
Pittsburgh PA,1,2019-03-18
Portland OR,2,2019-03-18
Portland-Auburn ME,3,2019-03-18
Presque Isle ME,0,2019-03-18
Providence RI-New Bedford MA,2,2019-03-18
Quincy IL-Hannibal MO-Keokuk IA,0,2019-03-18
Raleigh-Durham (Fayetteville) NC,2,2019-03-18
Rapid City SD,0,2019-03-18
Reno NV,0,2019-03-18
Richmond-Petersburg VA,0,2019-03-18
Roanoke-Lynchburg VA,3,2019-03-18
Rochester MN-Mason City IA-Austin MN,0,2019-03-18
Rochester NY,0,2019-03-18
Rockford IL,0,2019-03-18
Sacramento-Stockton-Modesto CA,2,2019-03-18
Salisbury MD,0,2019-03-18
Salt Lake City UT,1,2019-03-18
San Angelo TX,0,2019-03-18
San Antonio TX,2,2019-03-18
San Diego CA,2,2019-03-18
San Francisco-Oakland-San Jose CA,3,2019-03-18
Santa Barbara-Santa Maria-San Luis Obispo CA,5,2019-03-18
Savannah GA,4,2019-03-18
Seattle-Tacoma WA,1,2019-03-18
Sherman TX-Ada OK,15,2019-03-18
Shreveport LA,11,2019-03-18
Sioux City IA,0,2019-03-18
Sioux Falls(Mitchell) SD,6,2019-03-18
South Bend-Elkhart IN,4,2019-03-18
Spokane WA,0,2019-03-18
Springfield MO,0,2019-03-18
Springfield-Holyoke MA,0,2019-03-18
St. Joseph MO,0,2019-03-18
St. Louis MO,3,2019-03-18
Syracuse NY,4,2019-03-18
Tallahassee FL-Thomasville GA,6,2019-03-18
Tampa-St. Petersburg (Sarasota) FL,2,2019-03-18
Terre Haute IN,14,2019-03-18
Toledo OH,4,2019-03-18
Topeka KS,0,2019-03-18
Traverse City-Cadillac MI,0,2019-03-18
Tri-Cities TN-VA,0,2019-03-18
Tucson (Sierra Vista) AZ,0,2019-03-18
Tulsa OK,0,2019-03-18
Twin Falls ID,0,2019-03-18
Tyler-Longview(Lufkin & Nacogdoches) TX,7,2019-03-18
Utica NY,0,2019-03-18
Victoria TX,0,2019-03-18
Waco-Temple-Bryan TX,3,2019-03-18
Washington DC (Hagerstown MD),2,2019-03-18
Watertown NY,0,2019-03-18
Wausau-Rhinelander WI,0,2019-03-18
West Palm Beach-Ft. Pierce FL,0,2019-03-18
Wheeling WV-Steubenville OH,0,2019-03-18
Wichita Falls TX & Lawton OK,12,2019-03-18
Wichita-Hutchinson KS,3,2019-03-18
Wilkes Barre-Scranton PA,3,2019-03-18
Wilmington NC,0,2019-03-18
Yakima-Pasco-Richland-Kennewick WA,6,2019-03-18
Youngstown OH,6,2019-03-18
Yuma AZ-El Centro CA,0,2019-03-18
Zanesville OH,0,2019-03-18
Abilene-Sweetwater TX,0,2019-03-25
Albany GA,0,2019-03-25
Albany-Schenectady-Troy NY,25,2019-03-25
Albuquerque-Santa Fe NM,9,2019-03-25
Alexandria LA,0,2019-03-25
Alpena MI,0,2019-03-25
Amarillo TX,82,2019-03-25
