Week,interest
2019-01-06,14
2019-01-13,14
2019-01-20,15
2019-01-27,14
2019-02-03,15
2019-02-10,15
2019-02-17,14
2019-02-24,16
2019-03-03,16
2019-03-10,15
2019-03-17,15
2019-03-24,15
2019-03-31,16
2019-04-07,15
2019-04-14,13
2019-04-21,15
2019-04-28,15
2019-05-05,14
2019-05-12,14
2019-05-19,13
2019-05-26,13
2019-06-02,12
2019-06-09,12
2019-06-16,13
2019-06-23,13
2019-06-30,12
2019-07-07,11
2019-07-14,12
2019-07-21,14
2019-07-28,14
2019-08-04,15
2019-08-11,20
2019-08-18,34
2019-08-25,40
2019-09-01,63
2019-09-08,100
2019-09-15,59
2019-09-22,59
2019-09-29,44
2019-10-06,36
2019-10-13,29
2019-10-20,26
2019-10-27,23
2019-11-03,25
2019-11-10,29
2019-11-17,27
2019-11-24,18
2019-12-01,20
2019-12-08,19
2019-12-15,18
2019-12-22,14
2019-12-29,17
