geoName,interest,date,lat,long
Cincinnati OH,100,2019-01-01,39.1014537,-84.5124602
Dallas,25,2019-01-01,32.7762719,-96.7968559
Oklahoma City OK,100,2019-01-07,35.4729886,-97.5170536
Atlanta GA,7,2019-01-14,33.7490987,-84.3901849
Boston MA,8,2019-01-14,42.3602534,-71.0582912
Houston TX,7,2019-01-14,29.7589382,-95.3676974
Lansing MI,100,2019-01-14,42.7338147,-84.5207088
Los Angeles CA,3,2019-01-14,34.0536909,-118.2427666
Miami,17,2019-01-14,25.7742658,-80.1936589
New York NY,2,2019-01-14,40.7127281,-74.0060152
Philadelphia PA,7,2019-01-14,39.9527237,-75.1635262
San Antonio TX,23,2019-01-14,29.4246002,-98.4951405
Washington DC,6,2019-01-14,38.8948932,-77.0365529
Des Moines,100,2019-01-21,41.5910641,-93.6037149
West Palm Beach,53,2019-01-21,26.7153425,-80.0533746
Flint,100,2019-01-28,43.0161693,-83.6900211
Grand Rapids,23,2019-01-28,42.9632405,-85.6678639
Houston TX,5,2019-01-28,29.7589382,-95.3676974
St. Louis MO,100,2019-02-18,38.6529545,-90.24111656024635
San Francisco,100,2019-02-25,37.7790262,-122.4199061
Atlanta GA,100,2019-03-04,33.7490987,-84.3901849
Chicago IL,66,2019-03-04,41.8755616,-87.6244212
New York NY,28,2019-03-04,40.7127281,-74.0060152
San Francisco,78,2019-03-04,37.7790262,-122.4199061
Atlanta GA,2,2019-03-11,33.7490987,-84.3901849
Austin TX,6,2019-03-11,30.2711286,-97.7436995
Boston MA,2,2019-03-11,42.3602534,-71.0582912
Detroit MI,4,2019-03-11,42.3315509,-83.0466403
Laredo TX,100,2019-03-11,27.5199841,-99.4953764
Los Angeles CA,1,2019-03-11,34.0536909,-118.2427666
Miami,3,2019-03-11,25.7742658,-80.1936589
New York NY,1,2019-03-11,40.7127281,-74.0060152
Norfolk,8,2019-03-11,52.666667,1.0
Philadelphia PA,2,2019-03-11,39.9527237,-75.1635262
San Diego CA,4,2019-03-11,32.7174209,-117.1627714
West Palm Beach,9,2019-03-11,26.7153425,-80.0533746
Atlanta GA,8,2019-03-18,33.7490987,-84.3901849
Baltimore MD,13,2019-03-18,39.2908816,-76.610759
Birmingham AL,22,2019-03-18,33.570499,-86.765783
Dallas,4,2019-03-18,32.7762719,-96.7968559
Denver CO,8,2019-03-18,39.7348381,-104.9653271
El Paso TX,50,2019-03-18,31.7754152,-106.4646348
Fresno,27,2019-03-18,36.7295295,-119.70886126075588
Houston TX,5,2019-03-18,29.7589382,-95.3676974
Jacksonville FL,23,2019-03-18,30.3321838,-81.655651
Kansas City MO,16,2019-03-18,39.100105,-94.5781416
